"Journal Data Filtered By:  Selected Categories: ENDOCRINOLOGY & METABOLISM Selected Editions: ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"Clinical Obesity","1758-8103","1758-8111","ENDOCRINOLOGY & METABOLISM - ESCI","1,004","n/a","n/a","0.59","16.04"%,
"Journal of Endocrinology Metabolism and Diabetes of South Africa","1608-9677","2220-1009","ENDOCRINOLOGY & METABOLISM - ESCI","147","n/a","n/a","0.18","46.81"%,
"Diabetes Mellitus","2072-0351","2072-0378","ENDOCRINOLOGY & METABOLISM - ESCI","203","n/a","n/a","0.16","100"%,
"Journal of Obesity","2090-0708","2090-0716","ENDOCRINOLOGY & METABOLISM - ESCI","2,266","n/a","n/a","0.54","100"%,
"Practical Diabetes","2047-2897","2047-2900","ENDOCRINOLOGY & METABOLISM - ESCI","177","n/a","n/a","0.07","0"%,
"Clinical Diabetology","2450-8187","2450-8187","ENDOCRINOLOGY & METABOLISM - ESCI","89","n/a","n/a","0.09","100"%,
"Diabetic Foot & Ankle","2000-625X","2000-625X","ENDOCRINOLOGY & METABOLISM - ESCI","317","n/a","n/a","0.43","87.5"%,
"CURRENT DIABETES REVIEWS","1573-3998","1875-6417","ENDOCRINOLOGY & METABOLISM - ESCI","2,036","n/a","n/a","0.41","0"%,
"Diabetology International","2190-1678","2190-1686","ENDOCRINOLOGY & METABOLISM - ESCI","524","n/a","n/a","0.28","0"%,
"Obesity Science & Practice","2055-2238","2055-2238","ENDOCRINOLOGY & METABOLISM - ESCI","592","n/a","n/a","0.45","100"%,
"British Journal of Diabetes","2397-6233","2397-6233","ENDOCRINOLOGY & METABOLISM - ESCI","86","n/a","n/a","0.16","0"%,
"Journal of Thyroid Research","2090-8067","2042-0072","ENDOCRINOLOGY & METABOLISM - ESCI","530","n/a","n/a","0.35","100"%,
"Case Reports in Endocrinology","2090-6501","2090-651X","ENDOCRINOLOGY & METABOLISM - ESCI","380","n/a","n/a","0.2","100"%,
"Gynakologische Endokrinologie","1610-2894","1610-2908","ENDOCRINOLOGY & METABOLISM - ESCI","23","n/a","n/a","0.04","6.54"%,
"Clinical Pediatric Endocrinology","0918-5739","1347-7358","ENDOCRINOLOGY & METABOLISM - ESCI","174","n/a","n/a","0.26","63.16"%,
"Journal of the Endocrine Society","N/A","2472-1972","ENDOCRINOLOGY & METABOLISM - ESCI","1,690","n/a","n/a","0.69","100"%,
"Journal of Endocrinology and Metabolism","1923-2861","1923-287X","ENDOCRINOLOGY & METABOLISM - ESCI","158","n/a","n/a","0.1","91.57"%,
"Journal of Obesity & Metabolic Syndrome","2508-6235","2508-7576","ENDOCRINOLOGY & METABOLISM - ESCI","316","n/a","n/a","0.52","100"%,
"Expert Review of Endocrinology & Metabolism","1744-6651","1744-8417","ENDOCRINOLOGY & METABOLISM - ESCI","788","n/a","n/a","0.35","2.88"%,
"Journal of Diabetes and Metabolic Disorders","N/A","2251-6581","ENDOCRINOLOGY & METABOLISM - ESCI","1,553","n/a","n/a","0.44","5.17"%,
"Clinical Cases in Mineral and Bone Metabolism","1724-8914","1971-3266","ENDOCRINOLOGY & METABOLISM - ESCI","1,086","n/a","n/a","0.14","0"%,
"Revista de Osteoporosis y Metabolismo Mineral","1889-836X","2173-2345","ENDOCRINOLOGY & METABOLISM - ESCI","80","n/a","n/a","0.07","100"%,
"Annals of Pediatric Endocrinology & Metabolism","2287-1012","2287-1292","ENDOCRINOLOGY & METABOLISM - ESCI","250","n/a","n/a","0.44","100"%,
"Clinical Reviews in Bone and Mineral Metabolism","1534-8644","1559-0119","ENDOCRINOLOGY & METABOLISM - ESCI","306","n/a","n/a","0.17","9.09"%,
"Turkish Journal of Endocrinology and Metabolism","1301-2193","1301-2193","ENDOCRINOLOGY & METABOLISM - ESCI","82","n/a","n/a","0.03","100"%,
"Endocrinology Diabetes and Metabolism Case Reports","N/A","2052-0573","ENDOCRINOLOGY & METABOLISM - ESCI","559","n/a","n/a","0.25","100"%,
"Journal of Clinical and Translational Endocrinology","2214-6237","2214-6237","ENDOCRINOLOGY & METABOLISM - ESCI","544","n/a","n/a","0.51","100"%,
"Clinical Medicine Insights-Endocrinology and Diabetes","1179-5514","1179-5514","ENDOCRINOLOGY & METABOLISM - ESCI","222","n/a","n/a","0.45","100"%,
"International Journal of Endocrinology and Metabolism","1726-913X","1726-9148","ENDOCRINOLOGY & METABOLISM - ESCI","1,049","n/a","n/a","0.41","97.37"%,
"Journal of the ASEAN Federation of Endocrine Societies","0857-1074","2308-118X","ENDOCRINOLOGY & METABOLISM - ESCI","43","n/a","n/a","0.03","100"%,
"Austrian Journal of Clinical Endocrinology and Metabolism","1998-7773","1998-7781","ENDOCRINOLOGY & METABOLISM - ESCI","16","n/a","n/a","0.03","58.57"%,
"Diabetes & Metabolic Syndrome-Clinical Research & Reviews","1871-4021","1878-0334","ENDOCRINOLOGY & METABOLISM - ESCI","5,270","n/a","n/a","0.51","0.2"%,
"Revista Portuguesa de Endocrinologia Diabetes e Metabolismo","1646-3439","1646-3439","ENDOCRINOLOGY & METABOLISM - ESCI","45","n/a","n/a","0.01","0"%,
"Thyroid Research","N/A","1756-6614","ENDOCRINOLOGY & METABOLISM - ESCI","360","n/a","n/a","0.42","100"%,

Copyright (c) 2021 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
