"Journal Data Filtered By:  Selected Categories: ALLERGY Selected Editions: ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"Allergo Journal","0941-8849","2195-6405","ALLERGY - ESCI","485","n/a","n/a","0.35","31.03"%,
"Asia Pacific Allergy","2233-8276","2233-8268","ALLERGY - ESCI","646","n/a","n/a","0.4","54.72"%,
"Astim Allerji Immunoloji","1308-9234","1308-9234","ALLERGY - ESCI","49","n/a","n/a","0.03","95.24"%,
"Allergy Asthma & Respiratory Disease","2288-0402","2288-0410","ALLERGY - ESCI","112","n/a","n/a","0.07","39.23"%,
"Egyptian Journal of Pediatric Allergy and Immunology","1687-1642","2314-8934","ALLERGY - ESCI","31","n/a","n/a","0.03","0"%,
"Journal of Cutaneous Immunology and Allergy","N/A","2574-4593","ALLERGY - ESCI","31","n/a","n/a","0.15","100"%,
"Alergologia Polska-Polish Journal of Allergology","2353-3854","2353-3854","ALLERGY - ESCI","36","n/a","n/a","0.04","0"%,
"European Annals of Allergy and Clinical Immunology","1764-1489","1764-1489","ALLERGY - ESCI","598","n/a","n/a","0.28","0"%,
"Current Allergy & Clinical Immunology","1609-3607","1609-3607","ALLERGY - ESCI","118","n/a","n/a","0.05","0"%,

Copyright (c) 2021 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
