"Journal Data Filtered By:  Selected Categories: CLINICAL NEUROLOGY Selected Editions: ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"Epilepsi","1300-7157","1300-7157","CLINICAL NEUROLOGY - ESCI","68","n/a","n/a","0.03","100"%,
"Interdisciplinary Neurosurgery-Advanced Techniques and Case Management","N/A","2214-7519","CLINICAL NEUROLOGY - ESCI","271","n/a","n/a","0.09","100"%,
"Pain Research","0915-8588","2187-4697","CLINICAL NEUROLOGY - ESCI","25","n/a","n/a","0","0"%,
"Sleep Science","1984-0659","1984-0063","CLINICAL NEUROLOGY - ESCI","547","n/a","n/a","0.34","100"%,
"Pain Management","1758-1869","1758-1877","CLINICAL NEUROLOGY - ESCI","1,083","n/a","n/a","0.44","15.54"%,
"Future Neurology","1479-6708","1748-6971","CLINICAL NEUROLOGY - ESCI","529","n/a","n/a","0.33","58.49"%,
"Neurohospitalist","1941-8744","1941-8752","CLINICAL NEUROLOGY - ESCI","552","n/a","n/a","0.28","1.96"%,
"Brain Circulation","2394-8108","2455-4626","CLINICAL NEUROLOGY - ESCI","328","n/a","n/a","0.46","100"%,
"NEURO-OPHTHALMOLOGY","0165-8107","1744-506X","CLINICAL NEUROLOGY - ESCI","559","n/a","n/a","0.25","1.68"%,
"Brain Communications","N/A","2632-1297","CLINICAL NEUROLOGY - ESCI","249","n/a","n/a","0.62","44.03"%,
"FUNCTIONAL NEUROLOGY","0393-5264","1971-3274","CLINICAL NEUROLOGY - ESCI","1,025","n/a","n/a","0.51","0"%,
"Sleep Medicine Clinics","1556-407X","1556-4088","CLINICAL NEUROLOGY - ESCI","1,563","n/a","n/a","0.61","0.69"%,
"British Journal of Pain","2049-4637","2049-4645","CLINICAL NEUROLOGY - ESCI","648","n/a","n/a","0.51","8.13"%,
"European Stroke Journal","2396-9873","2396-9881","CLINICAL NEUROLOGY - ESCI","758","n/a","n/a","1","28.35"%,
"Neuro-Oncology Practice","2054-2577","2054-2585","CLINICAL NEUROLOGY - ESCI","522","n/a","n/a","0.55","10.84"%,
"Neurology International","2035-8385","2035-8377","CLINICAL NEUROLOGY - ESCI","277","n/a","n/a","0.27","100"%,
"Clinical Neuropsychiatry","1724-4935","2385-0787","CLINICAL NEUROLOGY - ESCI","695","n/a","n/a","0.38","100"%,
"Interventional Neurology","1664-9737","1664-5545","CLINICAL NEUROLOGY - ESCI","528","n/a","n/a","0.47","2.33"%,
"Aktualnosci Neurologiczne","1641-9227","1641-9227","CLINICAL NEUROLOGY - ESCI","25","n/a","n/a","0.05","100"%,
"Case Reports in Neurology","N/A","1662-680X","CLINICAL NEUROLOGY - ESCI","382","n/a","n/a","0.19","100"%,
"Neurology-Clinical Practice","2163-0402","2163-0933","CLINICAL NEUROLOGY - ESCI","788","n/a","n/a","0.44","5.75"%,
