"Journal Data Filtered By:  Selected Categories: EMERGENCY MEDICINE Selected Editions: ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"Emergency","2345-4571","2345-4571","EMERGENCY MEDICINE - ESCI","432","n/a","n/a","0.36","100"%,
"Journal of EndoVascular Resuscitation and Trauma Management","2002-7567","2002-7567","EMERGENCY MEDICINE - ESCI","27","n/a","n/a","0.25","0"%,
"Trauma-England","1460-4086","1477-0350","EMERGENCY MEDICINE - ESCI","396","n/a","n/a","0.21","4.37"%,
"Emergency Care Journal","1826-9826","2282-2054","EMERGENCY MEDICINE - ESCI","47","n/a","n/a","0.13","100"%,
"Journal of Acute Medicine","2211-5587","2211-5595","EMERGENCY MEDICINE - ESCI","131","n/a","n/a","0.03","0"%,
"Open Access Emergency Medicine","1179-1500","1179-1500","EMERGENCY MEDICINE - ESCI","275","n/a","n/a","0.57","100"%,
"Journal of Cardiovascular Emergencies","2457-5518","2457-550X","EMERGENCY MEDICINE - ESCI","40","n/a","n/a","0.2","100"%,
"Turkish Journal of Emergency Medicine","2452-2473","2452-2473","EMERGENCY MEDICINE - ESCI","630","n/a","n/a","0.81","100"%,
"Advanced Journal of Emergency Medicine","N/A","2588-400X","EMERGENCY MEDICINE - ESCI","124","n/a","n/a","0.33","100"%,
"Eurasian Journal of Emergency Medicine","2149-5807","2149-6048","EMERGENCY MEDICINE - ESCI","115","n/a","n/a","0.08","100"%,
"Archives of Academic Emergency Medicine","N/A","2645-4904","EMERGENCY MEDICINE - ESCI","578","n/a","n/a","0.58","100"%,
"Journal of Emergencies Trauma and Shock","0974-2700","0974-519X","EMERGENCY MEDICINE - ESCI","937","n/a","n/a","0.52","100"%,
"Annales Francaises de Medecine d Urgence","2108-6524","2108-6591","EMERGENCY MEDICINE - ESCI","122","n/a","n/a","0.14","0"%,
"International Journal of Burns and Trauma","2160-2026","2160-2026","EMERGENCY MEDICINE - ESCI","333","n/a","n/a","0.61","0"%,
"Journal of Emergency Medicine Case Reports","2149-9934","2149-9934","EMERGENCY MEDICINE - ESCI","26","n/a","n/a","0.03","0"%,
"International Journal of Emergency Medicine","1865-1372","1865-1380","EMERGENCY MEDICINE - ESCI","929","n/a","n/a","0.8","100"%,
"Clinical and Experimental Emergency Medicine","2383-4625","2383-4625","EMERGENCY MEDICINE - ESCI","443","n/a","n/a","0.67","81.82"%,
"Current Emergency and Hospital Medicine Reports","2167-4884","2167-4884","EMERGENCY MEDICINE - ESCI","113","n/a","n/a","0.15","2.63"%,
"Trauma Monthly","2251-7464","2251-7472","EMERGENCY MEDICINE - ESCI","379","n/a","n/a","0.15","0"%,

Copyright (c) 2021 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
