"Journal Data Filtered By:  Selected Categories: GENETICS & HEREDITY Selected Editions: ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"Meta Gene","N/A","2214-5400","GENETICS & HEREDITY - ESCI","722","n/a","n/a","0.15","1.14"%,
"Epigenomes","N/A","2075-4655","GENETICS & HEREDITY - ESCI","129","n/a","n/a","0.32","100"%,
"Gene Reports","N/A","2452-0144","GENETICS & HEREDITY - ESCI","616","n/a","n/a","0.18","0.4"%,
"AIMS Genetics","2377-1143","2377-1143","GENETICS & HEREDITY - ESCI","116","n/a","n/a","0.3","100"%,
"Epigenetics Insights","2516-8657","2516-8657","GENETICS & HEREDITY - ESCI","49","n/a","n/a","0.44","100"%,
"Human Genome Variation","N/A","2054-345X","GENETICS & HEREDITY - ESCI","434","n/a","n/a","0.43","100"%,
"International Journal of Neonatal Screening","N/A","2409-515X","GENETICS & HEREDITY - ESCI","251","n/a","n/a","0.58","100"%,
"Environmental Epigenetics","2058-5888","2058-5888","GENETICS & HEREDITY - ESCI","461","n/a","n/a","0.95","100"%,
"Journal of Community Genetics","1868-310X","1868-6001","GENETICS & HEREDITY - ESCI","840","n/a","n/a","0.59","39.74"%,
"GENETICS AND MOLECULAR RESEARCH","N/A","1676-5680","GENETICS & HEREDITY - ESCI","7,706","n/a","n/a","0.16","0"%,
"Application of Clinical Genetics","N/A","1178-704X","GENETICS & HEREDITY - ESCI","673","n/a","n/a","0.45","100"%,
"Current Genetic Medicine Reports","N/A","2167-4876","GENETICS & HEREDITY - ESCI","257","n/a","n/a","0.41","33.87"%,
"Global Medical Genetics","2699-9404","2699-9404","GENETICS & HEREDITY - ESCI","3","n/a","n/a","n/a","75"%,

Copyright (c) 2021 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
