"Journal Data Filtered By:  Selected Categories: GERIATRICS & GERONTOLOGY Selected Editions: ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"Geriatrics","N/A","2308-3417","GERIATRICS & GERONTOLOGY - ESCI","483","n/a","n/a","0.34","100"%,
"Innovation in Aging","2399-5300","2399-5300","GERIATRICS & GERONTOLOGY - ESCI","652","n/a","n/a","0.71","100"%,
"Healthy Aging Research","N/A","2261-7434","GERIATRICS & GERONTOLOGY - ESCI","68","n/a","n/a","0.11","0"%,
"Advances in Gerontology","2079-0570","2079-0589","GERIATRICS & GERONTOLOGY - ESCI","227","n/a","n/a","0.08","0"%,
"Current Geriatrics Reports","N/A","2196-7865","GERIATRICS & GERONTOLOGY - ESCI","287","n/a","n/a","0.24","3.74"%,
"Journal of Frailty & Aging","2260-1341","2273-4309","GERIATRICS & GERONTOLOGY - ESCI","860","n/a","n/a","0.74","16.22"%,
"Annals of Geriatric Medicine and Research","2508-4909","2508-4909","GERIATRICS & GERONTOLOGY - ESCI","224","n/a","n/a","0.28","100"%,
"Aging Medicine and Healthcare","N/A","2663-8851","GERIATRICS & GERONTOLOGY - ESCI","33","n/a","n/a","0.16","0"%,
"Salmand-Iranian Journal of Ageing","1735-806X","1735-806X","GERIATRICS & GERONTOLOGY - ESCI","191","n/a","n/a","0.12","100"%,
"Gerontology and Geriatric Medicine","N/A","2333-7214","GERIATRICS & GERONTOLOGY - ESCI","499","n/a","n/a","0.39","100"%,
"npj Aging and Mechanisms of Disease","N/A","2056-3973","GERIATRICS & GERONTOLOGY - ESCI","564","n/a","n/a","1.6","100"%,
"Journal of Religion Spirituality & Aging","1552-8030","1552-8049","GERIATRICS & GERONTOLOGY - ESCI","202","n/a","n/a","0.16","2.6"%,
"Canadian Geriatrics Journal","N/A","1925-8348","GERIATRICS & GERONTOLOGY - ESCI","439","n/a","n/a","0.43","28.13"%,

Copyright (c) 2021 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
