"Journal Data Filtered By:  Selected Categories: MEDICINE, GENERAL & INTERNAL Selected Editions: ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"Cureus","N/A","2168-8184","MEDICINE, GENERAL & INTERNAL - ESCI","8,982","n/a","n/a","0.27","97.12"%,
"Finlay","2221-2434","2221-2434","MEDICINE, GENERAL & INTERNAL - ESCI","54","n/a","n/a","0.02","100"%,
"MedULA","0798-3166","0798-3166","MEDICINE, GENERAL & INTERNAL - ESCI","13","n/a","n/a","0.02","0"%,
"Duazary","1794-5992","2389-783X","MEDICINE, GENERAL & INTERNAL - ESCI","54","n/a","n/a","0.05","100"%,
"Iatreia","0121-0793","2011-7965","MEDICINE, GENERAL & INTERNAL - ESCI","113","n/a","n/a","0.03","100"%,
"Medwave","0717-6384","0717-6384","MEDICINE, GENERAL & INTERNAL - ESCI","300","n/a","n/a","0.15","100"%,
"Diagnosis","2194-8011","2194-802X","MEDICINE, GENERAL & INTERNAL - ESCI","626","n/a","n/a","0.62","3.23"%,
"Reanimation","1624-0693","1951-6959","MEDICINE, GENERAL & INTERNAL - ESCI","133","n/a","n/a","0.02","0"%,
"Nobel Medicus","1305-2381","1305-2381","MEDICINE, GENERAL & INTERNAL - ESCI","66","n/a","n/a","0.03","0"%,
"Klimik Journal","1301-143X","1309-1484","MEDICINE, GENERAL & INTERNAL - ESCI","181","n/a","n/a","0.11","0"%,
"Galicia Clinica","0304-4866","0304-4866","MEDICINE, GENERAL & INTERNAL - ESCI","23","n/a","n/a","0.01","100"%,
"Journal of IMAB","1312-773X","1312-773X","MEDICINE, GENERAL & INTERNAL - ESCI","188","n/a","n/a","0.06","100"%,
"Medicina Balear","1579-5853","2255-0569","MEDICINE, GENERAL & INTERNAL - ESCI","12","n/a","n/a","0.01","0"%,
"Ochsner Journal","1524-5012","1524-5012","MEDICINE, GENERAL & INTERNAL - ESCI","1,596","n/a","n/a","0.36","100"%,
"Scientia Medica","1806-5562","1980-6108","MEDICINE, GENERAL & INTERNAL - ESCI","155","n/a","n/a","0.08","100"%,
"Archiv EuroMedica","2193-3863","2199-885X","MEDICINE, GENERAL & INTERNAL - ESCI","451","n/a","n/a","0.63","0"%,
"Bezmialem Science","2148-2373","2148-2373","MEDICINE, GENERAL & INTERNAL - ESCI","36","n/a","n/a","0.02","100"%,
"Universa Medicina","1907-3062","2407-2230","MEDICINE, GENERAL & INTERNAL - ESCI","70","n/a","n/a","0.05","100"%,
"BioMedicine-Taiwan","2211-8020","2211-8039","MEDICINE, GENERAL & INTERNAL - ESCI","743","n/a","n/a","1.28","100"%,
"Einstein-Sao Paulo","1679-4508","2317-6385","MEDICINE, GENERAL & INTERNAL - ESCI","1,226","n/a","n/a","0.28","100"%,
"SAGE Open Medicine","2050-3121","2050-3121","MEDICINE, GENERAL & INTERNAL - ESCI","1,357","n/a","n/a","0.54","100"%,
"Universitas Medica","0041-9095","2011-0839","MEDICINE, GENERAL & INTERNAL - ESCI","52","n/a","n/a","0.01","100"%,
"Archivos de Medicina","1657-320X","2339-3874","MEDICINE, GENERAL & INTERNAL - ESCI","193","n/a","n/a","0.01","100"%,
"Bali Medical Journal","2089-1180","2302-2914","MEDICINE, GENERAL & INTERNAL - ESCI","185","n/a","n/a","0.33","100"%,
"Clinics and Practice","2039-7275","2039-7283","MEDICINE, GENERAL & INTERNAL - ESCI","305","n/a","n/a","0.23","100"%,
"Ewha Medical Journal","2234-3180","2234-2591","MEDICINE, GENERAL & INTERNAL - ESCI","31","n/a","n/a","0.04","34.38"%,
"Gazi Medical Journal","2147-2092","2147-2092","MEDICINE, GENERAL & INTERNAL - ESCI","78","n/a","n/a","0.03","100"%,
"Konuralp Tip Dergisi","1309-3878","1309-3878","MEDICINE, GENERAL & INTERNAL - ESCI","80","n/a","n/a","0.07","0.44"%,
"Clinical Case Reports","2050-0904","2050-0904","MEDICINE, GENERAL & INTERNAL - ESCI","1,558","n/a","n/a","0.2","100"%,
"Rawal Medical Journal","0303-5212","0303-5212","MEDICINE, GENERAL & INTERNAL - ESCI","215","n/a","n/a","0.05","0.15"%,
"Scientific Chronicles","1791-1362","2241-1666","MEDICINE, GENERAL & INTERNAL - ESCI","9","n/a","n/a","0.01","100"%,
"World Family Medicine","1839-0188","1839-0196","MEDICINE, GENERAL & INTERNAL - ESCI","205","n/a","n/a","0.1","0"%,
"Avances en Biomedicina","2477-9369","2244-7881","MEDICINE, GENERAL & INTERNAL - ESCI","11","n/a","n/a","0.01","100"%,
"CEYLON MEDICAL JOURNAL","0009-0875","0009-0875","MEDICINE, GENERAL & INTERNAL - ESCI","458","n/a","n/a","0.16","95.65"%,
"THERAPEUTISCHE UMSCHAU","0040-5930","1664-2864","MEDICINE, GENERAL & INTERNAL - ESCI","246","n/a","n/a","0.04","0"%,
"Acta Medica Indonesiana","0125-9326","2338-2732","MEDICINE, GENERAL & INTERNAL - ESCI","671","n/a","n/a","0.31","100"%,
"Erciyes Medical Journal","2149-2247","2149-2549","MEDICINE, GENERAL & INTERNAL - ESCI","153","n/a","n/a","0.08","100"%,
"Marmara Medical Journal","1309-9469","1309-9469","MEDICINE, GENERAL & INTERNAL - ESCI","108","n/a","n/a","0.06","0"%,
"Tzu Chi Medical Journal","1016-3190","2223-8956","MEDICINE, GENERAL & INTERNAL - ESCI","412","n/a","n/a","0.36","100"%,
"Acute Medicine & Surgery","2052-8817","2052-8817","MEDICINE, GENERAL & INTERNAL - ESCI","574","n/a","n/a","0.46","100"%,
"Bahrain Medical Bulletin","1012-8298","1012-8298","MEDICINE, GENERAL & INTERNAL - ESCI","138","n/a","n/a","0.03","0"%,
"Case Reports in Medicine","1687-9627","1687-9635","MEDICINE, GENERAL & INTERNAL - ESCI","1,399","n/a","n/a","0.2","100"%,
"Cukurova Medical Journal","2602-3032","2602-3040","MEDICINE, GENERAL & INTERNAL - ESCI","167","n/a","n/a","0.04","100"%,
"Istanbul Medical Journal","2619-9793","2148-094X","MEDICINE, GENERAL & INTERNAL - ESCI","70","n/a","n/a","0.03","100"%,
"Revista Medica de Rosario","0327-5019","1851-2135","MEDICINE, GENERAL & INTERNAL - ESCI","5","n/a","n/a","0.03","100"%,
"Annals of African Medicine","1596-3519","0975-5764","MEDICINE, GENERAL & INTERNAL - ESCI","686","n/a","n/a","0.33","0"%,
"Clinical Management Issues","1973-4832","2283-3137","MEDICINE, GENERAL & INTERNAL - ESCI","6","n/a","n/a","0.03","100"%,
"Revista Medica del Uruguay","0303-3295","1688-0390","MEDICINE, GENERAL & INTERNAL - ESCI","83","n/a","n/a","0.03","100"%,
"Zaporozhye Medical Journal","2306-4145","2310-1210","MEDICINE, GENERAL & INTERNAL - ESCI","62","n/a","n/a","0.03","100"%,
"BMJ Evidence-Based Medicine","2515-446X","2515-4478","MEDICINE, GENERAL & INTERNAL - ESCI","640","n/a","n/a","1.66","16.5"%,
"Dental and Medical Problems","1644-387X","2300-9020","MEDICINE, GENERAL & INTERNAL - ESCI","278","n/a","n/a","0.22","100"%,
"Italian Journal of Medicine","1877-9344","1877-9352","MEDICINE, GENERAL & INTERNAL - ESCI","131","n/a","n/a","0.09","100"%,
"Medical Journal of Bakirkoy","1305-9319","1305-9327","MEDICINE, GENERAL & INTERNAL - ESCI","68","n/a","n/a","0.04","0"%,
