"Journal Data Filtered By:  Selected Categories: NEUROSCIENCES Selected Editions: ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"IBRO Reports","2451-8301","2451-8301","NEUROSCIENCES - ESCI","226","n/a","n/a","0.47","100"%,
"BRAIN-Broad Research in Artificial Intelligence and Neuroscience","2067-3957","N/A","NEUROSCIENCES - ESCI","159","n/a","n/a","0.13","100"%,
"AIMS Neuroscience","2373-8006","2373-7972","NEUROSCIENCES - ESCI","141","n/a","n/a","0.18","100"%,
"Brain Circulation","2394-8108","2455-4626","NEUROSCIENCES - ESCI","328","n/a","n/a","0.46","100"%,
"Brain Communications","N/A","2632-1297","NEUROSCIENCES - ESCI","249","n/a","n/a","0.62","44.03"%,
"Annals of Neurosciences","0972-7531","0976-3260","NEUROSCIENCES - ESCI","630","n/a","n/a","0.39","45.76"%,
"Archives of Neuroscience","2322-3944","2322-5769","NEUROSCIENCES - ESCI","151","n/a","n/a","0.11","96.43"%,
"Brain-Computer Interfaces","2326-263X","2326-2621","NEUROSCIENCES - ESCI","277","n/a","n/a","0.6","2.94"%,
"Indian Journal of Neurotrauma","0973-0508","2213-3739","NEUROSCIENCES - ESCI","100","n/a","n/a","0.03","47.78"%,
"Journal of Huntingtons Disease","1879-6397","1879-6400","NEUROSCIENCES - ESCI","630","n/a","n/a","0.51","0"%,
"Basic and Clinical Neuroscience","2008-126X","2228-7442","NEUROSCIENCES - ESCI","584","n/a","n/a","0.29","100"%,
"Neurology Research International","2090-1852","2090-1860","NEUROSCIENCES - ESCI","599","n/a","n/a","0.33","100"%,
"Clinical Neurophysiology Practice","2467-981X","2467-981X","NEUROSCIENCES - ESCI","371","n/a","n/a","0.5","100"%,
"Journal of Experimental Neuroscience","1179-0695","1179-0695","NEUROSCIENCES - ESCI","475","n/a","n/a","0.52","100"%,
"Progress in Neurology and Psychiatry","1367-7543","1931-227X","NEUROSCIENCES - ESCI","147","n/a","n/a","0.09","0"%,
"Trends in Neuroscience and Education","2452-0837","2211-9493","NEUROSCIENCES - ESCI","514","n/a","n/a","0.54","12.73"%,
"Neurosonology and Cerebral Hemodynamics","1312-6431","1312-6431","NEUROSCIENCES - ESCI","5","n/a","n/a","0.02","0"%,
"International Journal of Tryptophan Research","1178-6469","1178-6469","NEUROSCIENCES - ESCI","655","n/a","n/a","1.74","100"%,
"Egyptian Journal of Neurology Psychiatry and Neurosurgery","1687-8329","1687-8329","NEUROSCIENCES - ESCI","205","n/a","n/a","0.15","100"%,
"Eneurobiologia","2007-3054","2007-3054","NEUROSCIENCES - ESCI","13","n/a","n/a","0.02","100"%,

Copyright (c) 2021 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
