"Journal Data Filtered By:  Selected Categories: OBSTETRICS & GYNECOLOGY Selected Editions: ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"GYNAKOLOGE","0017-5994","1433-0393","OBSTETRICS & GYNECOLOGY - ESCI","154","n/a","n/a","0.07","6.09"%,
"SAJOG-South African Journal of Obstetrics and Gynaecology","0038-2329","2305-8862","OBSTETRICS & GYNECOLOGY - ESCI","73","n/a","n/a","0.09","100"%,
"Obstetric Medicine","1753-495X","1753-4968","OBSTETRICS & GYNECOLOGY - ESCI","598","n/a","n/a","0.39","2.8"%,
"Journal of Pregnancy","2090-2727","2090-2735","OBSTETRICS & GYNECOLOGY - ESCI","915","n/a","n/a","0.86","100"%,
"MINERVA GINECOLOGICA","0026-4784","1827-1650","OBSTETRICS & GYNECOLOGY - ESCI","882","n/a","n/a","0.49","0"%,
"Journal of Fetal Medicine","2348-1153","2348-8859","OBSTETRICS & GYNECOLOGY - ESCI","64","n/a","n/a","0.07","8.26"%,
"Gynecologic Oncology Reports","2352-5789","2352-5789","OBSTETRICS & GYNECOLOGY - ESCI","687","n/a","n/a","0.48","100"%,
"Obstetrician & Gynaecologist","1467-2561","1744-4667","OBSTETRICS & GYNECOLOGY - ESCI","533","n/a","n/a","0.2","3.9"%,
"Current Womens Health Reviews","1573-4048","1875-6581","OBSTETRICS & GYNECOLOGY - ESCI","169","n/a","n/a","0.15","0"%,
"JOURNAL OF GYNECOLOGIC SURGERY","1042-4067","1557-7724","OBSTETRICS & GYNECOLOGY - ESCI","233","n/a","n/a","0.11","2.55"%,
"Facts Views and Vision in ObGyn","2032-0418","2032-0418","OBSTETRICS & GYNECOLOGY - ESCI","564","n/a","n/a","0.42","0"%,
"Aktualni Gynekologie a Porodnictvi","1803-9588","1803-9588","OBSTETRICS & GYNECOLOGY - ESCI","14","n/a","n/a","0.04","0"%,
"Case Reports in Perinatal Medicine","2192-8959","2192-8959","OBSTETRICS & GYNECOLOGY - ESCI","52","n/a","n/a","0.07","0"%,
"Hypertension Research in Pregnancy","2187-5987","2187-9931","OBSTETRICS & GYNECOLOGY - ESCI","67","n/a","n/a","0.15","0"%,
"Ceska Gynekologie-Czech Gynaecology","1210-7832","1805-4455","OBSTETRICS & GYNECOLOGY - ESCI","107","n/a","n/a","0.17","0"%,
"Open Access Journal of Contraception","N/A","1179-1527","OBSTETRICS & GYNECOLOGY - ESCI","149","n/a","n/a","0.54","100"%,
"Indian Journal of Gynecologic Oncology","2363-8397","2363-8400","OBSTETRICS & GYNECOLOGY - ESCI","71","n/a","n/a","0.06","1.39"%,
