"Journal Data Filtered By:  Selected Categories: ONCOLOGY Selected Editions: ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"Onkologija","1408-1741","1581-3215","ONCOLOGY - ESCI","6","n/a","n/a","0.01","100"%,
"JMIR Cancer","2369-1999","2369-1999","ONCOLOGY - ESCI","343","n/a","n/a","0.53","100"%,
"Rare Tumors","2036-3605","2036-3613","ONCOLOGY - ESCI","468","n/a","n/a","0.16","100"%,
"Nature Cancer","N/A","2662-1347","ONCOLOGY - ESCI","519","n/a","n/a","n/a","1.27"%,
"Onkourologiya","1726-9776","1996-1812","ONCOLOGY - ESCI","85","n/a","n/a","0.04","100"%,
"Cancer Reports","N/A","2573-8348","ONCOLOGY - ESCI","81","n/a","n/a","0.15","32.78"%,
"Hepatic Oncology","2045-0923","2045-0931","ONCOLOGY - ESCI","243","n/a","n/a","0.37","100"%,
"Oncology Reviews","1970-5557","1970-5565","ONCOLOGY - ESCI","615","n/a","n/a","0.67","100"%,
"Prostate  Cancer","2090-3111","2090-312X","ONCOLOGY - ESCI","355","n/a","n/a","0.42","100"%,
"Colorectal Cancer","1758-194X","1758-1958","ONCOLOGY - ESCI","125","n/a","n/a","0.2","79.17"%,
"JCO Global Oncology","N/A","2687-8941","ONCOLOGY - ESCI","307","n/a","n/a","n/a","97.37"%,
"Melanoma Management","2045-0885","2045-0893","ONCOLOGY - ESCI","204","n/a","n/a","0.46","100"%,
"JNCI Cancer Spectrum","N/A","2515-5091","ONCOLOGY - ESCI","653","n/a","n/a","0.58","100"%,
"Oncology and Therapy","2366-1070","2366-1089","ONCOLOGY - ESCI","170","n/a","n/a","0.32","100"%,
"Oncolytic Virotherapy","2253-1572","2253-1572","ONCOLOGY - ESCI","246","n/a","n/a","0.51","100"%,
"Pleura and Peritoneum","2364-7671","2364-768X","ONCOLOGY - ESCI","237","n/a","n/a","0.55","100"%,
"eCancerMedicalScience","1754-6605","1754-6605","ONCOLOGY - ESCI","1,981","n/a","n/a","0.43","99.74"%,
"Rehabilitation Oncology","2168-3808","2381-2427","ONCOLOGY - ESCI","218","n/a","n/a","0.16","0"%,
"Breast Cancer Management","1758-1923","1758-1931","ONCOLOGY - ESCI","94","n/a","n/a","0.1","100"%,
"Case Reports in Oncology","1662-6575","1662-6575","ONCOLOGY - ESCI","1,081","n/a","n/a","0.2","100"%,
"Chinese Clinical Oncology","2304-3865","2304-3873","ONCOLOGY - ESCI","1,131","n/a","n/a","0.34","82.84"%,
"Journal of Breast Imaging","2631-6110","2631-6129","ONCOLOGY - ESCI","97","n/a","n/a","0.27","2.54"%,
"World Journal of Oncology","1920-4531","1920-454X","ONCOLOGY - ESCI","747","n/a","n/a","1.28","97.5"%,
"Journal of Global Oncology","2378-9506","2378-9506","ONCOLOGY - ESCI","1,310","n/a","n/a","0.45","99.58"%,
"Radiation Oncology Journal","2234-3156","2234-3156","ONCOLOGY - ESCI","644","n/a","n/a","0.41","23.01"%,
"Gaceta Mexicana de Oncologia","1665-9201","1665-9201","ONCOLOGY - ESCI","36","n/a","n/a","0.01","0"%,
"Journal of Cancer Prevention","2288-3649","2288-3657","ONCOLOGY - ESCI","867","n/a","n/a","0.55","90.12"%,
"Journal of Pancreatic Cancer","N/A","2475-3246","ONCOLOGY - ESCI","76","n/a","n/a","0.17","100"%,
"Current Breast Cancer Reports","1943-4588","1943-4596","ONCOLOGY - ESCI","303","n/a","n/a","0.24","9.09"%,
"Middle East Journal of Cancer","2008-6709","2008-6687","ONCOLOGY - ESCI","154","n/a","n/a","0.11","100"%,
"Molecular & Cellular Oncology","N/A","2372-3556","ONCOLOGY - ESCI","1,390","n/a","n/a","0.29","25.93"%,
"Oncology in Clinical Practice","2450-1654","2450-6478","ONCOLOGY - ESCI","86","n/a","n/a","0.04","0"%,
"South Asian Journal of Cancer","2278-330X","2278-4306","ONCOLOGY - ESCI","546","n/a","n/a","0.21","100"%,
"World Cancer Research Journal","2372-3416","2372-3416","ONCOLOGY - ESCI","202","n/a","n/a","0.19","0"%,
"Current Cancer Therapy Reviews","1573-3947","1875-6301","ONCOLOGY - ESCI","133","n/a","n/a","0.06","0"%,
"Journal of Cancer Epidemiology","1687-8558","1687-8566","ONCOLOGY - ESCI","563","n/a","n/a","0.37","100"%,
"JCO Clinical Cancer Informatics","2473-4276","2473-4276","ONCOLOGY - ESCI","777","n/a","n/a","0.55","33.73"%,
"Lung Cancer-Targets and Therapy","N/A","1179-2728","ONCOLOGY - ESCI","401","n/a","n/a","0.64","100"%,
