"Journal Data Filtered By:  Selected Categories: OPHTHALMOLOGY Selected Editions: ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"Strabismus","0927-3972","1744-5132","OPHTHALMOLOGY - ESCI","615","n/a","n/a","0.32","0"%,
"Orbit-The International Journal on Orbital Disorders-Oculoplastic and Lacrimal Surgery","0167-6830","1744-5108","OPHTHALMOLOGY - ESCI","1,303","n/a","n/a","0.37","0.26"%,
"Eye and Brain","1179-2744","1179-2744","OPHTHALMOLOGY - ESCI","335","n/a","n/a","0.75","100"%,
"Clinical Optometry","1179-2752","1179-2752","OPHTHALMOLOGY - ESCI","129","n/a","n/a","0.47","100"%,
"Journal of Optometry","1888-4296","1989-1342","OPHTHALMOLOGY - ESCI","566","n/a","n/a","0.77","100"%,
"Augenheilkunde Up2date","1616-9719","1616-9735","OPHTHALMOLOGY - ESCI","9","n/a","n/a","0.05","0"%,
"BMJ Open Ophthalmology","2397-3269","2397-3269","OPHTHALMOLOGY - ESCI","393","n/a","n/a","0.8","100"%,
"Clinical Ophthalmology","1177-5483","1177-5483","OPHTHALMOLOGY - ESCI","6,856","n/a","n/a","0.77","100"%,
"Open Ophthalmology Journal","1874-3641","1874-3641","OPHTHALMOLOGY - ESCI","549","n/a","n/a","0.37","96.88"%,
"Spektrum der Augenheilkunde","0930-4282","1613-7523","OPHTHALMOLOGY - ESCI","54","n/a","n/a","0.05","24.66"%,
"Case Reports in Ophthalmology","1663-2699","1663-2699","OPHTHALMOLOGY - ESCI","501","n/a","n/a","0.24","100"%,
"Ocular Oncology and Pathology","2296-4681","2296-4657","OPHTHALMOLOGY - ESCI","378","n/a","n/a","0.43","4.72"%,
"Expert Review of Ophthalmology","1746-9899","1746-9902","OPHTHALMOLOGY - ESCI","514","n/a","n/a","0.22","2.97"%,
"Saudi Journal of Ophthalmology","1319-4534","2542-6680","OPHTHALMOLOGY - ESCI","753","n/a","n/a","0.31","72.2"%,
"Taiwan Journal of Ophthalmology","2211-5056","2211-5072","OPHTHALMOLOGY - ESCI","261","n/a","n/a","0.26","100"%,
"Journal of Current Ophthalmology","2452-2325","2452-2325","OPHTHALMOLOGY - ESCI","561","n/a","n/a","0.49","100"%,
"Nepalese Journal of Ophthalmology","2072-6805","2091-0320","OPHTHALMOLOGY - ESCI","228","n/a","n/a","0.1","100"%,
"British Journal of Visual Impairment","0264-6196","1744-5809","OPHTHALMOLOGY - ESCI","341","n/a","n/a","0.5","11.93"%,
"African Vision and Eye Health Journal","0378-9411","2410-3039","OPHTHALMOLOGY - ESCI","120","n/a","n/a","0.12","96.05"%,
"Therapeutic Advances in Ophthalmology","2515-8414","2515-8414","OPHTHALMOLOGY - ESCI","116","n/a","n/a","0.43","100"%,
"Journal of Ophthalmic & Vision Research","2008-2010","2008-322X","OPHTHALMOLOGY - ESCI","265","n/a","n/a","0.49","100"%,
"Case Reports in Ophthalmological Medicine","2090-6722","2090-6730","OPHTHALMOLOGY - ESCI","284","n/a","n/a","0.18","100"%,
"Middle East African Journal of Ophthalmology","0974-9233","0975-1599","OPHTHALMOLOGY - ESCI","808","n/a","n/a","0.3","0"%,
"Journal of the Korean Ophthalmological Society","0378-6471","2092-9374","OPHTHALMOLOGY - ESCI","145","n/a","n/a","0.05","25.45"%,
"Journal of Ophthalmic Inflammation and Infection","1869-5760","1869-5760","OPHTHALMOLOGY - ESCI","685","n/a","n/a","0.69","100"%,
"Turk Oftalmoloji Dergisi-Turkish Journal of Ophthalmology","1300-0659","2147-2661","OPHTHALMOLOGY - ESCI","459","n/a","n/a","0.32","100"%,
"Eye Reports","2039-4748","2039-4756","OPHTHALMOLOGY - ESCI","4","n/a","n/a","0.08","0"%,

Copyright (c) 2021 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
