"Journal Data Filtered By:  Selected Categories: ORTHOPEDICS Selected Editions: ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"SICOT-J","2426-8887","2426-8887","ORTHOPEDICS - ESCI","558","n/a","n/a","0.66","100"%,
"Journal of the American Academy of Orthopaedic Surgeons Global Research and Reviews","2474-7661","2474-7661","ORTHOPEDICS - ESCI","271","n/a","n/a","0.43","100"%,
"Osteologie","1019-1291","2567-5818","ORTHOPEDICS - ESCI","65","n/a","n/a","0.08","2.27"%,
"Annals of Joint","2415-6809","2415-6809","ORTHOPEDICS - ESCI","193","n/a","n/a","0.19","68.26"%,
"Orthopedic Reviews","2035-8237","2035-8164","ORTHOPEDICS - ESCI","677","n/a","n/a","0.33","100"%,
"Asian Spine Journal","1976-1902","1976-7846","ORTHOPEDICS - ESCI","1,975","n/a","n/a","0.61","100"%,
"Arthroscopy Techniques","2212-6287","2212-6287","ORTHOPEDICS - ESCI","2,134","n/a","n/a","0.42","91.85"%,
"Advances in Orthopedics","2090-3464","2090-3472","ORTHOPEDICS - ESCI","486","n/a","n/a","0.5","100"%,
"Journal of Orthopaedics","0972-978X","0972-978X","ORTHOPEDICS - ESCI","1,283","n/a","n/a","0.47","0.91"%,
"Journal of Osteoporosis","2090-8059","2042-0064","ORTHOPEDICS - ESCI","317","n/a","n/a","0.62","100"%,
"Journal of Wrist Surgery","2163-3916","2163-3924","ORTHOPEDICS - ESCI","729","n/a","n/a","0.39","0.74"%,
"Techniques in Orthopaedics","0885-9698","2333-0600","ORTHOPEDICS - ESCI","310","n/a","n/a","0.19","6.49"%,
"Archives of Trauma Research","2251-953X","2251-9599","ORTHOPEDICS - ESCI","332","n/a","n/a","0.09","100"%,
"Current Orthopaedic Practice","1940-7041","1941-7551","ORTHOPEDICS - ESCI","339","n/a","n/a","0.08","0.9"%,
"World Journal of Orthopedics","2218-5836","2218-5836","ORTHOPEDICS - ESCI","2,177","n/a","n/a","0.66","97.93"%,
"Clinics in Orthopedic Surgery","2005-291X","2005-4408","ORTHOPEDICS - ESCI","1,678","n/a","n/a","0.89","100"%,
"Malaysian Orthopaedic Journal","1985-2533","2232-111X","ORTHOPEDICS - ESCI","293","n/a","n/a","0.26","100"%,
"Chinese Journal of Traumatology","1008-1275","1008-1275","ORTHOPEDICS - ESCI","1,102","n/a","n/a","0.55","100"%,
"Orthopedic Research and Reviews","N/A","1179-1462","ORTHOPEDICS - ESCI","175","n/a","n/a","0.5","100"%,
"Travmatologiya i ortopediya Rossii","2311-2905","2311-2905","ORTHOPEDICS - ESCI","115","n/a","n/a","0.15","100"%,
"Asian Journal of Endoscopic Surgery","1758-5902","1758-5910","ORTHOPEDICS - ESCI","886","n/a","n/a","0.54","4.66"%,
"Minerva Ortopedica E Traumatologica","0026-4911","1827-1707","ORTHOPEDICS - ESCI","52","n/a","n/a","0.13","0"%,
"Operative Techniques in Orthopaedics","1048-6666","1558-3848","ORTHOPEDICS - ESCI","293","n/a","n/a","0.11","1"%,
"Techniques in Foot and Ankle Surgery","1536-0644","1538-1943","ORTHOPEDICS - ESCI","166","n/a","n/a","0.09","2.13"%,
"International Journal of Surgery Open","2405-8572","2405-8572","ORTHOPEDICS - ESCI","143","n/a","n/a","0.24","99.53"%,
"International Journal of Physiotherapy","2349-5987","2348-8336","ORTHOPEDICS - ESCI","88","n/a","n/a","0.06","100"%,
"Archives of Bone and Joint Surgery-ABJS","2345-4644","2345-461X","ORTHOPEDICS - ESCI","697","n/a","n/a","0.44","0"%,
"Techniques in Shoulder and Elbow Surgery","1523-9896","1539-591X","ORTHOPEDICS - ESCI","173","n/a","n/a","0.11","3.3"%,
"MLTJ-Muscles Ligaments and Tendons Journal","2240-4554","2240-4554","ORTHOPEDICS - ESCI","541","n/a","n/a","0.34","0"%,
"Bulletin of the Hospital for Joint Diseases","2328-4633","2328-5273","ORTHOPEDICS - ESCI","1,209","n/a","n/a","0.16","0"%,
"Current Reviews in Musculoskeletal Medicine","1935-973X","1935-9748","ORTHOPEDICS - ESCI","2,223","n/a","n/a","1.33","3.07"%,
"Strategies in Trauma and Limb Reconstruction","N/A","1828-8928","ORTHOPEDICS - ESCI","472","n/a","n/a","0.33","100"%,
"Journal of Orthopaedics Trauma and Rehabilitation","2210-4917","2210-4925","ORTHOPEDICS - ESCI","64","n/a","n/a","0.11","100"%,
"Clinical Medicine Insights-Arthritis and Musculoskeletal Disorders","1179-5441","1179-5441","ORTHOPEDICS - ESCI","358","n/a","n/a","0.52","100"%,
"Obere Extremitaet-Schulter-Ellenbogen-Hand-Upper Extremity-Shoulder Elbow Hand","1862-6599","1862-6602","ORTHOPEDICS - ESCI","126","n/a","n/a","0.3","55.66"%,
"Asia-Pacific Journal of Sport Medicine Arthroscopy Rehabilitation and Technology","2214-6873","2214-6873","ORTHOPEDICS - ESCI","178","n/a","n/a","0.33","100"%,
"JOR Spine","2572-1143","2572-1143","ORTHOPEDICS - ESCI","257","n/a","n/a","1.1","100"%,

Copyright (c) 2021 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
