"Journal Data Filtered By:  Selected Categories: PATHOLOGY Selected Editions: ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"Pathologia","2306-8027","2310-1237","PATHOLOGY - ESCI","38","n/a","n/a","0.04","100"%,
"PATHOLOGICA","0031-2983","1591-951X","PATHOLOGY - ESCI","419","n/a","n/a","0.19","67.47"%,
"Academic Pathology","2374-2895","2374-2895","PATHOLOGY - ESCI","252","n/a","n/a","0.34","100"%,
"Clinical Pathology","2632-010X","2632-010X","PATHOLOGY - ESCI","27","n/a","n/a","0.29","100"%,
"Head & Neck Pathology","1936-055X","1936-0568","PATHOLOGY - ESCI","2,696","n/a","n/a","0.99","6.59"%,
"AJSP-Reviews and Reports","1082-9784","1533-4015","PATHOLOGY - ESCI","115","n/a","n/a","0.07","1.21"%,
"International Journal of Clinical and Experimental Pathology","1936-2625","1936-2625","PATHOLOGY - ESCI","11,102","n/a","n/a","0.15","0"%,
"Current Pathobiology Reports","N/A","2167-485X","PATHOLOGY - ESCI","458","n/a","n/a","0.63","23.21"%,
"Turkish Journal of Pathology","1018-5615","1309-5730","PATHOLOGY - ESCI","323","n/a","n/a","0.29","100"%,
"Clinical Medicine Insights- Pathology","1179-5557","2632-010X","PATHOLOGY - ESCI","120","n/a","n/a","0.15","100"%,
"Journal of Pathology and Translational Medicine","2383-7837","2383-7845","PATHOLOGY - ESCI","820","n/a","n/a","0.64","100"%,
"Pathology and Laboratory Medicine International","N/A","1179-2698","PATHOLOGY - ESCI","66","n/a","n/a","0.23","100"%,
"Case Reports in Pathology","2090-6781","2090-679X","PATHOLOGY - ESCI","362","n/a","n/a","0.23","100"%,

Copyright (c) 2021 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
