"Journal Data Filtered By:  Selected Categories: PRIMARY HEALTH CARE Selected Editions: ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"Education for Primary Care","1473-9879","1475-990X","PRIMARY HEALTH CARE - ESCI","586","n/a","n/a","0.54","2.49"%,
"Journal of Primary Health Care","1172-6164","1172-6156","PRIMARY HEALTH CARE - ESCI","542","n/a","n/a","0.64","99.25"%,
"Korean Journal of Family Medicine","2092-6715","2092-6715","PRIMARY HEALTH CARE - ESCI","859","n/a","n/a","0.65","100"%,
"African Journal of Primary Health Care & Family Medicine","2071-2928","2071-2936","PRIMARY HEALTH CARE - ESCI","898","n/a","n/a","0.59","100"%,
"Family Medicine and Primary Care Review","1734-3402","2449-8580","PRIMARY HEALTH CARE - ESCI","196","n/a","n/a","0.21","100"%,
"Journal of Primary Care and Community Health","2150-1319","2150-1327","PRIMARY HEALTH CARE - ESCI","708","n/a","n/a","0.63","100"%,
"Family Medicine and Community Health","2305-6983","2009-8774","PRIMARY HEALTH CARE - ESCI","206","n/a","n/a","0.69","100"%,

Copyright (c) 2021 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
