"Journal Data Filtered By:  Selected Categories: PSYCHIATRY Selected Editions: ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"Psychoterapia","0239-4170","2391-5862","PSYCHIATRY - ESCI","32","n/a","n/a","0.02","6.78"%,
"Intervention-International Journal of Mental Health Psychosocial Work and Counselling in Areas of Armed Conflict","1571-8883","1872-1001","PSYCHIATRY - ESCI","417","n/a","n/a","0.2","0"%,
"Mental Illness","2036-7465","2036-7465","PSYCHIATRY - ESCI","155","n/a","n/a","0.3","100"%,
"BJPsych Bulletin","2056-4694","2056-4708","PSYCHIATRY - ESCI","580","n/a","n/a","0.41","100"%,
"NEUROPSYCHIATRIE","0948-6259","2194-1327","PSYCHIATRY - ESCI","204","n/a","n/a","0.24","56.41"%,
"General Psychiatry","2096-5923","2517-729X","PSYCHIATRY - ESCI","774","n/a","n/a","0.48","99.24"%,
"Minerva Psichiatrica","0374-9320","1827-1731","PSYCHIATRY - ESCI","56","n/a","n/a","0.19","0"%,
"Sante Mentale au Quebec","0383-6320","1708-3923","PSYCHIATRY - ESCI","166","n/a","n/a","0.08","0"%,
"Advances in Mental Health","1838-7357","1837-4905","PSYCHIATRY - ESCI","562","n/a","n/a","0.68","0"%,
"Current Psychiatry Reviews","1573-4005","1875-6441","PSYCHIATRY - ESCI","465","n/a","n/a","0.09","0"%,
"Journal of Psychopathology","1592-1107","2499-6904","PSYCHIATRY - ESCI","327","n/a","n/a","0.37","0"%,
"ASEAN Journal of Psychiatry","2231-7791","2231-7805","PSYCHIATRY - ESCI","121","n/a","n/a","0.04","0"%,
"Mental Health Review Journal","1361-9322","2042-8758","PSYCHIATRY - ESCI","370","n/a","n/a","0.22","1.3"%,
"Journal of Psychiatric Nursing","2149-374X","2149-374X","PSYCHIATRY - ESCI","286","n/a","n/a","0.18","100"%,
"British Journal of Psychotherapy","0265-9883","1752-0118","PSYCHIATRY - ESCI","184","n/a","n/a","0.1","0.85"%,
"Mental Health Religion & Culture","1367-4676","1469-9737","PSYCHIATRY - ESCI","1,618","n/a","n/a","0.25","0.93"%,
"Postepy Psychiatrii i Neurologii","N/A","1230-2813","PSYCHIATRY - ESCI","54","n/a","n/a","0.07","0"%,
"Neuropsychiatria i Neuropsychologia","1896-6764","2084-9885","PSYCHIATRY - ESCI","42","n/a","n/a","0.04","0"%,
"Schizophrenia Research and Treatment","2090-2085","2090-2093","PSYCHIATRY - ESCI","318","n/a","n/a","0.33","100"%,
"Trends in Psychiatry and Psychotherapy","2237-6089","2238-0019","PSYCHIATRY - ESCI","537","n/a","n/a","0.35","100"%,
"IRISH JOURNAL OF PSYCHOLOGICAL MEDICINE","0790-9667","2051-6967","PSYCHIATRY - ESCI","509","n/a","n/a","0.3","26.17"%,
"Archives of Psychiatry and Psychotherapy","1509-2046","2083-828X","PSYCHIATRY - ESCI","242","n/a","n/a","0.17","6.8"%,
"Forensische Psychiatrie Psychologie Kriminologie","1862-7072","1862-7080","PSYCHIATRY - ESCI","199","n/a","n/a","0.19","29.57"%,
"ACTA PSIQUIATRICA Y PSICOLOGICA DE AMERICA LATINA","0001-6896","N/A","PSYCHIATRY - ESCI","48","n/a","n/a","0.01","0"%,
"Iranian Journal of Psychiatry and Behavioral Sciences","1735-8639","1735-9287","PSYCHIATRY - ESCI","671","n/a","n/a","0.16","63.03"%,
"Iranian Journal of Psychiatry and Clinical Psychology","1735-4315","2228-7515","PSYCHIATRY - ESCI","124","n/a","n/a","0.08","74.49"%,
"Advances in Mental Health and Intellectual Disabilities","2044-1282","2044-1290","PSYCHIATRY - ESCI","219","n/a","n/a","0.19","1.43"%,
"Journal of Mental Health Training Education and Practice","1755-6228","2042-8707","PSYCHIATRY - ESCI","244","n/a","n/a","0.22","0"%,
"Dusunen Adam-Journal of Psychiatry and Neurological Sciences","1018-8681","1309-5749","PSYCHIATRY - ESCI","46","n/a","n/a","0.13","0"%,
"Journal of the Korean Academy of Child and Adolescent Psychiatry","1225-729X","2233-9183","PSYCHIATRY - ESCI","79","n/a","n/a","0.16","98.53"%,
"Klinik Psikiyatri Dergisi-Turkish Journal of Clinical Psychiatry","1302-0099","2146-7153","PSYCHIATRY - ESCI","50","n/a","n/a","0.06","100"%,
"Journal of the Canadian Academy of Child and Adolescent Psychiatry","1719-8429","1719-8429","PSYCHIATRY - ESCI","911","n/a","n/a","0.37","0"%,
"Scandinavian Journal of Child and Adolescent Psychiatry and Psychology","2245-8875","2245-8875","PSYCHIATRY - ESCI","73","n/a","n/a","0.15","100"%,
"Psychiatria i Psychologia Kliniczna-JOURNAL OF PSYCHIATRY AND CLINICAL PSYCHOLOGY","1644-6313","1644-6313","PSYCHIATRY - ESCI","81","n/a","n/a","0.08","100"%,
"Balint-Journal","1439-5142","1439-9008","PSYCHIATRY - ESCI","14","n/a","n/a","0.09","4.88"%,

Copyright (c) 2021 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
