"Journal Data Filtered By:  Selected Categories: REHABILITATION Selected Editions: ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"Hand Therapy","1758-9983","1758-9991","REHABILITATION - ESCI","151","n/a","n/a","0.38","6.82"%,
"Turkish Journal of Physiotherapy Rehabilitation-Turk Fizyoterapi ve Rehabilitasyon Dergisi","2651-4451","2651-446X","REHABILITATION - ESCI","114","n/a","n/a","0.08","0"%,
"MANUELLE MEDIZIN","0025-2514","1433-0466","REHABILITATION - ESCI","128","n/a","n/a","0.12","11.19"%,
"Acta Balneologica","2082-1867","2082-1867","REHABILITATION - ESCI","56","n/a","n/a","0.09","0"%,
"Manuelle Therapie","1433-2671","1439-2348","REHABILITATION - ESCI","26","n/a","n/a","0.09","0"%,
"Balneo Research Journal","2069-7597","2069-7619","REHABILITATION - ESCI","138","n/a","n/a","0.61","100"%,
"Physical Therapy Reviews","1083-3196","1743-288X","REHABILITATION - ESCI","632","n/a","n/a","0.28","3.08"%,
"Archives of Rehabilitation","2538-6247","2538-6247","REHABILITATION - ESCI","126","n/a","n/a","0.14","70.45"%,
"Music Therapy Perspectives","0734-6875","2053-7387","REHABILITATION - ESCI","238","n/a","n/a","0.45","2.74"%,
"Therapeutic Recreation Journal","0040-5914","2159-6433","REHABILITATION - ESCI","293","n/a","n/a","0.36","0"%,
"Hong Kong Physiotherapy Journal","1013-7025","1876-441X","REHABILITATION - ESCI","229","n/a","n/a","0.4","100"%,
"British Journal of Music Therapy","1359-4575","2059-9773","REHABILITATION - ESCI","64","n/a","n/a","0.25","8"%,
"Journal of Chiropractic Medicine","0899-3467","1556-3715","REHABILITATION - ESCI","2,507","n/a","n/a","0.34","0.83"%,
"Journal of Enabling Technologies","2398-6263","2398-6263","REHABILITATION - ESCI","55","n/a","n/a","0.35","1.85"%,
"European Journal of Physiotherapy","2167-9169","2167-9177","REHABILITATION - ESCI","371","n/a","n/a","0.28","11.11"%,
"Journal of Exercise Rehabilitation","2288-176X","2288-1778","REHABILITATION - ESCI","1,237","n/a","n/a","0.7","100"%,
"Rehabilitation Process and Outcome","1179-5727","1179-5727","REHABILITATION - ESCI","30","n/a","n/a","0.25","100"%,
"OCCUPATIONAL THERAPY IN HEALTH CARE","0738-0577","1541-3098","REHABILITATION - ESCI","489","n/a","n/a","0.53","2.56"%,
"Journal of Vocational Rehabilitation","1052-2263","1878-6316","REHABILITATION - ESCI","1,051","n/a","n/a","0.41","0"%,
"Physiotherapy Research International","1358-2267","1471-2865","REHABILITATION - ESCI","1,106","n/a","n/a","0.84","13.74"%,
"Rehabilitation Research and Practice","2090-2867","2090-2875","REHABILITATION - ESCI","353","n/a","n/a","0.52","100"%,
"Annals of Rehabilitation Medicine-ARM","2234-0645","2234-0653","REHABILITATION - ESCI","1,912","n/a","n/a","0.56","100"%,
"Occupational Therapy in Mental Health","0164-212X","1541-3101","REHABILITATION - ESCI","232","n/a","n/a","0.32","1.47"%,
"Journal of Acute Care Physical Therapy","2158-8686","2159-0524","REHABILITATION - ESCI","66","n/a","n/a","0.2","0"%,
"Revista Espanola de Discapacidad-REDIS","2340-5104","2340-5104","REHABILITATION - ESCI","32","n/a","n/a","0.03","100"%,
"South African Journal of Physiotherapy","0379-6175","2410-8219","REHABILITATION - ESCI","168","n/a","n/a","0.31","100"%,
"Journal of Manual & Manipulative Therapy","1066-9817","2042-6186","REHABILITATION - ESCI","1,178","n/a","n/a","0.54","2.25"%,
"JOURNAL OF BODYWORK AND MOVEMENT THERAPIES","1360-8592","1532-9283","REHABILITATION - ESCI","2,366","n/a","n/a","0.66","1.77"%,
"International Journal of Telerehabilitation","1945-2020","1945-2020","REHABILITATION - ESCI","308","n/a","n/a","0.85","100"%,
"Scandinavian Journal of Disability Research","1501-7419","1745-3011","REHABILITATION - ESCI","466","n/a","n/a","0.47","100"%,
"Topics in Spinal Cord Injury Rehabilitation","1082-0744","1945-5763","REHABILITATION - ESCI","737","n/a","n/a","0.7","0"%,
"Rehabilitation Research Policy and Education","2168-6653","2168-6661","REHABILITATION - ESCI","121","n/a","n/a","0.17","0"%,
"Alter-European Journal of Disability Research","1875-0672","1875-0680","REHABILITATION - ESCI","281","n/a","n/a","0.17","3.33"%,
"PHYSICAL & OCCUPATIONAL THERAPY IN GERIATRICS","0270-3181","1541-3152","REHABILITATION - ESCI","317","n/a","n/a","0.26","0"%,
"Australian Journal of Rehabilitation Counselling","1323-8922","1838-6059","REHABILITATION - ESCI","111","n/a","n/a","0.2","0"%,
"International Journal of Therapy and Rehabilitation","1741-1645","1759-779X","REHABILITATION - ESCI","639","n/a","n/a","0.18","4.62"%,
"Canadian Journal of Speech-Language Pathology and Audiology","1913-2018","1913-2018","REHABILITATION - ESCI","177","n/a","n/a","0.19","2.86"%,
"Research and Practice in Intellectual and Developmental Disabilities","2329-7018","2329-7026","REHABILITATION - ESCI","141","n/a","n/a","0.7","5.71"%,
"Arteterapia-Papeles de Arteterapia y Educacion Artistica para la Inclusion Social","1886-6190","1988-8309","REHABILITATION - ESCI","20","n/a","n/a","0.03","100"%,
"Physioscience","1860-3092","1860-3351","REHABILITATION - ESCI","42","n/a","n/a","0.08","0"%,

Copyright (c) 2021 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
