"Journal Data Filtered By:  Selected Categories: SPORT SCIENCES Selected Editions: ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"Sports","N/A","2075-4663","SPORT SCIENCES - ESCI","1,459","n/a","n/a","0.72","100"%,
"Asia-Pacific Journal of Sport Medicine Arthroscopy Rehabilitation and Technology","2214-6873","2214-6873","SPORT SCIENCES - ESCI","178","n/a","n/a","0.33","100"%,
"Acta Kinesiologica","1840-2976","1840-3700","SPORT SCIENCES - ESCI","77","n/a","n/a","0.09","0"%,
"Sports Engineering","1369-7072","1460-2687","SPORT SCIENCES - ESCI","561","n/a","n/a","0.44","33.71"%,
"Human Sport Medicine","2500-0209","2500-0195","SPORT SCIENCES - ESCI","84","n/a","n/a","0.1","88.15"%,
"Kinesiologia Slovenica","1318-2269","2232-4062","SPORT SCIENCES - ESCI","101","n/a","n/a","0.17","0"%,
"Physical Activity Review","2300-5076","2300-5076","SPORT SCIENCES - ESCI","115","n/a","n/a","0.44","100"%,
"Apunts-Medicina de l Esport","N/A","1886-6581","SPORT SCIENCES - ESCI","157","n/a","n/a","0.16","0"%,
"Science of Gymnastics Journal","1855-7171","1855-7171","SPORT SCIENCES - ESCI","160","n/a","n/a","0.2","0"%,
"BMJ Open Sport & Exercise Medicine","2398-9459","2055-7647","SPORT SCIENCES - ESCI","1,300","n/a","n/a","0.62","100"%,
"European Journal of Human Movement","N/A","2386-4095","SPORT SCIENCES - ESCI","197","n/a","n/a","0.17","100"%,
"Journal of Dance Medicine & Science","1089-313X","2374-8060","SPORT SCIENCES - ESCI","576","n/a","n/a","0.33","0"%,
"Journal of Human Sport and Exercise","1988-5202","1988-5202","SPORT SCIENCES - ESCI","769","n/a","n/a","0.44","100"%,
"Bewegungstherapie und Gesundheitssport","1613-0863","1613-3269","SPORT SCIENCES - ESCI","64","n/a","n/a","0.05","0"%,
"Open Access Journal of Sports Medicine","1179-1543","1179-1543","SPORT SCIENCES - ESCI","766","n/a","n/a","0.62","100"%,
"German Journal of Exercise and Sport Research","2509-3142","2509-3150","SPORT SCIENCES - ESCI","296","n/a","n/a","0.39","20.73"%,
"RBNE-Revista Brasileira de Nutricao Esportiva","1981-9927","1981-9927","SPORT SCIENCES - ESCI","82","n/a","n/a","0.07","100"%,
"Baltic Journal of Health and Physical Activity","2080-1297","2080-9999","SPORT SCIENCES - ESCI","137","n/a","n/a","0.14","0"%,
"International Journal of Sports Physical Therapy","2159-2896","2159-2896","SPORT SCIENCES - ESCI","2,373","n/a","n/a","0.5","0"%,
"Montenegrin Journal of Sports Science and Medicine","1800-8755","1800-8763","SPORT SCIENCES - ESCI","152","n/a","n/a","0.67","100"%,
"International Journal of Athletic Therapy & Training","2157-7277","2157-7285","SPORT SCIENCES - ESCI","165","n/a","n/a","0.12","0"%,
"RICYDE-Revista Internacional de Ciencias del Deporte","1885-3137","1885-3137","SPORT SCIENCES - ESCI","372","n/a","n/a","0.36","100"%,
"Sport TK-Revista Euroamericana de Ciencias del Deporte","2340-8812","2340-8812","SPORT SCIENCES - ESCI","192","n/a","n/a","0.25","10.74"%,
"Archives of Budo Science of Martial Arts and Extreme Sports","2300-8822","2300-8822","SPORT SCIENCES - ESCI","92","n/a","n/a","0.4","0"%,
"MHSalud-Revista en Ciencias del Movimiento Humano y la Salud","1659-097X","1659-097X","SPORT SCIENCES - ESCI","20","n/a","n/a","0.06","100"%,
"Pensar en Movimiento-Revista de Ciencias del Ejercicio y la Salud","1409-0724","1659-4436","SPORT SCIENCES - ESCI","16","n/a","n/a","0.03","100"%,
"Revista Iberoamericana de Ciencias de la Actividad Fisica y el Deporte","2255-0461","2255-0461","SPORT SCIENCES - ESCI","50","n/a","n/a","0.16","71.43"%,
"Acta Gymnica","2336-4912","2336-4920","SPORT SCIENCES - ESCI","230","n/a","n/a","0.23","100"%,

Copyright (c) 2021 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
