"Journal Data Filtered By:  Selected Categories: UROLOGY & NEPHROLOGY Selected Editions: ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"Nephrologe","1862-040X","1862-0418","UROLOGY & NEPHROLOGY - ESCI","45","n/a","n/a","0.03","3.61"%,
"International Journal of Nephrology and Renovascular Disease","1178-7058","1178-7058","UROLOGY & NEPHROLOGY - ESCI","879","n/a","n/a","0.63","100"%,
"CEN Case Reports","2192-4449","2192-4449","UROLOGY & NEPHROLOGY - ESCI","297","n/a","n/a","0.31","6.17"%,
"Urologia Journal","0391-5603","1724-6075","UROLOGY & NEPHROLOGY - ESCI","293","n/a","n/a","0.26","1.43"%,
"Urology Practice","2352-0779","2352-0787","UROLOGY & NEPHROLOGY - ESCI","290","n/a","n/a","0.35","0"%,
"Urological Science","1879-5226","1879-5234","UROLOGY & NEPHROLOGY - ESCI","189","n/a","n/a","0.09","100"%,
"Advances in Urology","1687-6369","1687-6377","UROLOGY & NEPHROLOGY - ESCI","818","n/a","n/a","0.61","100"%,
"Urology Case Reports","N/A","2214-4420","UROLOGY & NEPHROLOGY - ESCI","576","n/a","n/a","0.16","100"%,
"Arab Journal of Urology","2090-598X","2090-5998","UROLOGY & NEPHROLOGY - ESCI","948","n/a","n/a","0.64","67.9"%,
"Asian Journal of Urology","2214-3882","2214-3890","UROLOGY & NEPHROLOGY - ESCI","655","n/a","n/a","0.69","100"%,
"Indian Journal of Urology","0970-1591","1998-3824","UROLOGY & NEPHROLOGY - ESCI","1,220","n/a","n/a","0.4","100"%,
"African Journal of Urology","1110-5704","1961-9987","UROLOGY & NEPHROLOGY - ESCI","219","n/a","n/a","0.11","100"%,
"Nephrology @ Point of Care","2059-3007","2059-3007","UROLOGY & NEPHROLOGY - ESCI","6","n/a","n/a","0.09","100"%,
"Turkish Journal of Urology","N/A","2149-3057","UROLOGY & NEPHROLOGY - ESCI","755","n/a","n/a","0.32","0"%,
"Journal of Clinical Urology","2051-4158","2051-4166","UROLOGY & NEPHROLOGY - ESCI","291","n/a","n/a","0.1","2.4"%,
"Indian Journal of Nephrology","0971-4065","1998-3662","UROLOGY & NEPHROLOGY - ESCI","883","n/a","n/a","0.25","100"%,
"Journal of Urological Surgery","2148-9580","2148-9580","UROLOGY & NEPHROLOGY - ESCI","51","n/a","n/a","0.06","100"%,
"Turkish Journal of Nephrology","N/A","2667-4440","UROLOGY & NEPHROLOGY - ESCI","6","n/a","n/a","0.02","0"%,
"Research and Reports in Urology","2253-2447","2253-2447","UROLOGY & NEPHROLOGY - ESCI","512","n/a","n/a","0.43","100"%,
"Trends in Urology & Mens Health","2044-3730","2044-3749","UROLOGY & NEPHROLOGY - ESCI","80","n/a","n/a","0.05","0"%,
"Journal of Renal Injury Prevention","2345-2781","2345-2781","UROLOGY & NEPHROLOGY - ESCI","444","n/a","n/a","0.2","94.16"%,
"Central European Journal of Urology","2080-4806","2080-4873","UROLOGY & NEPHROLOGY - ESCI","790","n/a","n/a","0.37","0"%,
"Current Bladder Dysfunction Reports","1931-7212","1931-7220","UROLOGY & NEPHROLOGY - ESCI","177","n/a","n/a","0.08","4.7"%,
"International Journal of Nephrology","2090-214X","2090-2158","UROLOGY & NEPHROLOGY - ESCI","793","n/a","n/a","0.42","100"%,
"Case Reports in Nephrology and Dialysis","2296-9705","2296-9705","UROLOGY & NEPHROLOGY - ESCI","163","n/a","n/a","0.2","100"%,
"Archivio Italiano di Urologia e Andrologia","1124-3562","2282-4197","UROLOGY & NEPHROLOGY - ESCI","800","n/a","n/a","0.32","100"%,
"Saudi Journal of Kidney Diseases and Transplantation","1319-2442","2320-3838","UROLOGY & NEPHROLOGY - ESCI","2,018","n/a","n/a","0.22","100"%,
"American Journal of Clinical and Experimental Urology","2330-1910","2330-1910","UROLOGY & NEPHROLOGY - ESCI","400","n/a","n/a","0.67","0"%,
"Turkish Nephrology Dialysis and Transplantation Journal","1300-7718","2667-4440","UROLOGY & NEPHROLOGY - ESCI","61","n/a","n/a","0.05","0"%,
"Urology Annals","0974-7796","0974-7834","UROLOGY & NEPHROLOGY - ESCI","795","n/a","n/a","0.29","100"%,

Copyright (c) 2021 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
