"Journal Data Filtered By:  Selected Categories: BEHAVIORAL SCIENCES Selected Editions: SCIE Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"TRENDS IN COGNITIVE SCIENCES","1364-6613","1879-307X","BEHAVIORAL SCIENCES - SCIE","33,482","20.229","Q1","2.12","21.15"%,
"BEHAVIORAL AND BRAIN SCIENCES","0140-525X","1469-1825","BEHAVIORAL SCIENCES - SCIE","11,610","12.579","Q1","2.99","0"%,
"NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS","0149-7634","1873-7528","BEHAVIORAL SCIENCES - SCIE","36,525","8.989","Q1","1.34","16.67"%,
"Autism Research","1939-3792","1939-3806","BEHAVIORAL SCIENCES - SCIE","5,700","5.216","Q1","1.42","13.73"%,
"Current Opinion in Behavioral Sciences","2352-1546","2352-1554","BEHAVIORAL SCIENCES - SCIE","3,724","4.466","Q1","0.64","15.86"%,
"EVOLUTION AND HUMAN BEHAVIOR","1090-5138","1879-0607","BEHAVIORAL SCIENCES - SCIE","5,376","4.178","Q1","1.29","8.94"%,
"CORTEX","0010-9452","1973-8102","BEHAVIORAL SCIENCES - SCIE","13,326","4.027","Q1","1.17","15.3"%,
"APPETITE","0195-6663","1095-8304","BEHAVIORAL SCIENCES - SCIE","23,036","3.868","Q1","1.12","7.31"%,
"Advances in the Study of Behavior","0065-3454","2162-8823","BEHAVIORAL SCIENCES - SCIE","1,357","3.818","Q1","0.55","0"%,
"Behavioral and Brain Functions","N/A","1744-9081","BEHAVIORAL SCIENCES - SCIE","1,843","3.759","Q1","0.83","100"%,
"JOURNAL OF ECT","1095-0680","1533-4112","BEHAVIORAL SCIENCES - SCIE","2,177","3.635","Q1","0.79","2.11"%,
"HORMONES AND BEHAVIOR","0018-506X","1095-6867","BEHAVIORAL SCIENCES - SCIE","12,125","3.587","Q1","0.95","3.66"%,
"Frontiers in Behavioral Neuroscience","1662-5153","N/A","BEHAVIORAL SCIENCES - SCIE","9,314","3.558","Q1","0.79","100"%,
"PHARMACOLOGY BIOCHEMISTRY AND BEHAVIOR","0091-3057","1873-5177","BEHAVIORAL SCIENCES - SCIE","13,378","3.533","Q2","0.87","3.58"%,
"STRESS-THE INTERNATIONAL JOURNAL ON THE BIOLOGY OF STRESS","1025-3890","1607-8888","BEHAVIORAL SCIENCES - SCIE","3,588","3.493","Q2","0.86","6.15"%,
"GENES BRAIN AND BEHAVIOR","1601-1848","1601-183X","BEHAVIORAL SCIENCES - SCIE","4,424","3.449","Q2","0.97","14.61"%,
