"Journal Data Filtered By:  Selected Categories: CLINICAL NEUROLOGY Selected Editions: SCIE Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"LANCET NEUROLOGY","1474-4422","1474-4465","CLINICAL NEUROLOGY - SCIE","43,457","44.182","Q1","9.69","13.19"%,
"Nature Reviews Neurology","1759-4758","1759-4766","CLINICAL NEUROLOGY - SCIE","15,738","42.937","Q1","5.85","3.45"%,
"Alzheimers & Dementia","1552-5260","1552-5279","CLINICAL NEUROLOGY - SCIE","21,824","21.566","Q1","3.87","31.62"%,
"JAMA Neurology","2168-6149","2168-6157","CLINICAL NEUROLOGY - SCIE","17,086","18.302","Q1","4.36","13.13"%,
"ACTA NEUROPATHOLOGICA","0001-6322","1432-0533","CLINICAL NEUROLOGY - SCIE","28,031","17.088","Q1","4.12","51.7"%,
"BRAIN","0006-8950","1460-2156","CLINICAL NEUROLOGY - SCIE","64,627","13.501","Q1","3.28","37.84"%,
"NEURO-ONCOLOGY","1522-8517","1523-5866","CLINICAL NEUROLOGY - SCIE","17,812","12.3","Q1","2.5","12.06"%,
"SLEEP MEDICINE REVIEWS","1087-0792","1532-2955","CLINICAL NEUROLOGY - SCIE","11,218","11.609","Q1","1.73","9.17"%,
"ANNALS OF NEUROLOGY","0364-5134","1531-8249","CLINICAL NEUROLOGY - SCIE","43,728","10.422","Q1","2.66","27.53"%,
"MOVEMENT DISORDERS","0885-3185","1531-8257","CLINICAL NEUROLOGY - SCIE","35,072","10.338","Q1","2.4","24.25"%,
"JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY","0022-3050","1468-330X","CLINICAL NEUROLOGY - SCIE","37,094","10.154","Q1","2.59","28.48"%,
"NEUROLOGY","0028-3878","1526-632X","CLINICAL NEUROLOGY - SCIE","109,905","9.91","Q1","2.56","19.26"%,
"Brain Stimulation","1935-861X","1876-4754","CLINICAL NEUROLOGY - SCIE","9,206","8.955","Q1","1.76","48.26"%,
"Neurology-Neuroimmunology & Neuroinflammation","2332-7812","2332-7812","CLINICAL NEUROLOGY - SCIE","3,863","8.485","Q1","1.88","100"%,
"NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY","0305-1846","1365-2990","CLINICAL NEUROLOGY - SCIE","4,791","8.09","Q1","1.86","38.18"%,
"STROKE","0039-2499","1524-4628","CLINICAL NEUROLOGY - SCIE","78,912","7.914","Q1","1.81","9.99"%,
"Neurotherapeutics","1933-7213","1878-7479","CLINICAL NEUROLOGY - SCIE","6,764","7.62","Q1","1.32","18.41"%,
"NEUROSCIENTIST","1073-8584","1089-4098","CLINICAL NEUROLOGY - SCIE","5,949","7.519","Q1","1.4","13.21"%,
"Epilepsy Currents","1535-7597","1535-7511","CLINICAL NEUROLOGY - SCIE","1,246","7.5","Q1","0.6","73.08"%,
"JOURNAL OF HEADACHE AND PAIN","1129-2369","1129-2377","CLINICAL NEUROLOGY - SCIE","5,400","7.277","Q1","1.36","100"%,
"Alzheimers Research & Therapy","N/A","1758-9193","CLINICAL NEUROLOGY - SCIE","5,593","6.982","Q1","1.73","100"%,
"Journal of Stroke","2287-6391","2287-6405","CLINICAL NEUROLOGY - SCIE","1,692","6.967","Q1","1.38","100"%,
