"Journal Data Filtered By:  Selected Categories: DERMATOLOGY Selected Editions: SCIE Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY","0190-9622","1097-6787","DERMATOLOGY - SCIE","40,257","11.527","Q1","2.96","8.24"%,
"JAMA Dermatology","2168-6068","2168-6084","DERMATOLOGY - SCIE","8,448","10.282","Q1","2.71","7.41"%,
"BRITISH JOURNAL OF DERMATOLOGY","0007-0963","1365-2133","DERMATOLOGY - SCIE","36,064","9.302","Q1","2.45","27.2"%,
"JOURNAL OF INVESTIGATIVE DERMATOLOGY","0022-202X","1523-1747","DERMATOLOGY - SCIE","37,630","8.551","Q1","2.51","12.61"%,
"AMERICAN JOURNAL OF CLINICAL DERMATOLOGY","1175-0561","1179-1888","DERMATOLOGY - SCIE","4,264","7.403","Q1","1.73","18.26"%,
"CONTACT DERMATITIS","0105-1873","1600-0536","DERMATOLOGY - SCIE","7,973","6.6","Q1","1.21","13.98"%,
"JOURNAL OF THE EUROPEAN ACADEMY OF DERMATOLOGY AND VENEREOLOGY","0926-9959","1468-3083","DERMATOLOGY - SCIE","19,427","6.166","Q1","1.71","19.73"%,
"JOURNAL DER DEUTSCHEN DERMATOLOGISCHEN GESELLSCHAFT","1610-0379","1610-0387","DERMATOLOGY - SCIE","3,597","5.584","Q1","1.2","25.39"%,
"DERMATOLOGY","1018-8665","1421-9832","DERMATOLOGY - SCIE","6,824","5.366","Q1","0.97","7.65"%,
"Burns & Trauma","2321-3868","2321-3876","DERMATOLOGY - SCIE","937","5.099","Q1","1.3","99.12"%,
"Dermatitis","1710-3568","2162-5220","DERMATOLOGY - SCIE","1,762","4.845","Q1","1.17","2.82"%,
"Advances in Wound Care","2162-1918","2162-1934","DERMATOLOGY - SCIE","3,381","4.73","Q1","1.06","16.58"%,
