"Journal Data Filtered By:  Selected Categories: ENDOCRINOLOGY & METABOLISM Selected Editions: SCIE Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"Nature Reviews Endocrinology","1759-5029","1759-5037","ENDOCRINOLOGY & METABOLISM - SCIE","15,040","43.33","Q1","4.88","5.48"%,
"Lancet Diabetes & Endocrinology","2213-8587","2213-8595","ENDOCRINOLOGY & METABOLISM - SCIE","14,024","32.069","Q1","6.3","7.11"%,
"Cell Metabolism","1550-4131","1932-7420","ENDOCRINOLOGY & METABOLISM - SCIE","52,192","27.287","Q1","4.62","9.5"%,
"ENDOCRINE REVIEWS","0163-769X","1945-7189","ENDOCRINOLOGY & METABOLISM - SCIE","17,082","19.871","Q1","2.51","25.4"%,
"DIABETES CARE","0149-5992","1935-5548","ENDOCRINOLOGY & METABOLISM - SCIE","85,997","19.112","Q1","3.63","0.2"%,
"Nature Metabolism","N/A","2522-5812","ENDOCRINOLOGY & METABOLISM - SCIE","1,658","13.511","Q1","3.18","0.52"%,
"JOURNAL OF PINEAL RESEARCH","0742-3098","1600-079X","ENDOCRINOLOGY & METABOLISM - SCIE","12,492","13.007","Q1","3.51","10.5"%,
"TRENDS IN ENDOCRINOLOGY AND METABOLISM","1043-2760","1879-3061","ENDOCRINOLOGY & METABOLISM - SCIE","11,973","12.015","Q1","1.49","9.27"%,
"DIABETOLOGIA","0012-186X","1432-0428","ENDOCRINOLOGY & METABOLISM - SCIE","38,164","10.122","Q1","1.95","48.06"%,
"Cardiovascular Diabetology","N/A","1475-2840","ENDOCRINOLOGY & METABOLISM - SCIE","8,782","9.951","Q1","1.81","100"%,
"DIABETES","0012-1797","1939-327X","ENDOCRINOLOGY & METABOLISM - SCIE","60,905","9.461","Q1","1.83","0.29"%,
"Obesity Reviews","1467-7881","1467-789X","ENDOCRINOLOGY & METABOLISM - SCIE","16,547","9.213","Q1","1.55","23.18"%,
