"Journal Data Filtered By:  Selected Categories: HEALTH CARE SCIENCES & SERVICES Selected Editions: SCIE Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"npj Digital Medicine","2398-6352","2398-6352","HEALTH CARE SCIENCES & SERVICES - SCIE","2,406","11.653","Q1","3.24","100"%,
"Implementation Science","1748-5908","1748-5908","HEALTH CARE SCIENCES & SERVICES - SCIE","14,750","7.327","Q1","2.12","100"%,
"BMJ Quality & Safety","2044-5415","2044-5423","HEALTH CARE SCIENCES & SERVICES - SCIE","7,335","7.035","Q1","2.26","38.46"%,
"ACADEMIC MEDICINE","1040-2446","1938-808X","HEALTH CARE SCIENCES & SERVICES - SCIE","22,828","6.893","Q1","2.14","6.34"%,
"JOURNAL OF CLINICAL EPIDEMIOLOGY","0895-4356","1878-5921","HEALTH CARE SCIENCES & SERVICES - SCIE","36,224","6.437","Q1","1.71","20.73"%,
"HEALTH AFFAIRS","0278-2715","0278-2715","HEALTH CARE SCIENCES & SERVICES - SCIE","22,442","6.301","Q1","2.32","10.54"%,
"MEDICAL EDUCATION","0308-0110","1365-2923","HEALTH CARE SCIENCES & SERVICES - SCIE","14,132","6.251","Q1","2.13","16.9"%,
"JOURNAL OF TELEMEDICINE AND TELECARE","1357-633X","1758-1109","HEALTH CARE SCIENCES & SERVICES - SCIE","5,052","6.184","Q1","1.46","3.92"%,
"VALUE IN HEALTH","1098-3015","1524-4733","HEALTH CARE SCIENCES & SERVICES - SCIE","12,642","5.725","Q1","1.67","25.14"%,
"JOURNAL OF MEDICAL INTERNET RESEARCH","1438-8871","N/A","HEALTH CARE SCIENCES & SERVICES - SCIE","26,102","5.428","Q1","1.55","99.12"%,
"JOURNAL OF GENERAL INTERNAL MEDICINE","0884-8734","1525-1497","HEALTH CARE SCIENCES & SERVICES - SCIE","26,727","5.128","Q1","1.48","5.56"%,
"International Journal of Integrated Care","1568-4156","1568-4156","HEALTH CARE SCIENCES & SERVICES - SCIE","2,034","5.12","Q1","0.87","100"%,
