"Journal Data Filtered By:  Selected Categories: HEALTH POLICY & SERVICES Selected Editions: SSCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"Implementation Science","1748-5908","1748-5908","HEALTH POLICY & SERVICES - SSCI","14,750","7.327","Q1","2.12","100"%,
"BMJ Quality & Safety","2044-5415","2044-5423","HEALTH POLICY & SERVICES - SSCI","7,335","7.035","Q1","2.26","38.46"%,
"HEALTH AFFAIRS","0278-2715","0278-2715","HEALTH POLICY & SERVICES - SSCI","22,442","6.301","Q1","2.32","10.54"%,
"VALUE IN HEALTH","1098-3015","1524-4733","HEALTH POLICY & SERVICES - SSCI","12,642","5.725","Q1","1.67","25.14"%,
"International Journal of Integrated Care","1568-4156","1568-4156","HEALTH POLICY & SERVICES - SSCI","2,034","5.12","Q1","0.87","100"%,
"International Journal of Health Policy and Management","N/A","2322-5939","HEALTH POLICY & SERVICES - SSCI","2,118","5.007","Q1","1.15","100"%,
"PHARMACOECONOMICS","1170-7690","1179-2027","HEALTH POLICY & SERVICES - SSCI","6,543","4.981","Q1","1.29","42.07"%,
"MILBANK QUARTERLY","0887-378X","1468-0009","HEALTH POLICY & SERVICES - SSCI","4,632","4.911","Q1","1.7","27.84"%,
"JOURNAL OF RURAL HEALTH","0890-765X","1748-0361","HEALTH POLICY & SERVICES - SSCI","2,866","4.333","Q1","1.63","6.02"%,
"QUALITY OF LIFE RESEARCH","0962-9343","1573-2649","HEALTH POLICY & SERVICES - SSCI","19,584","4.147","Q1","1.19","27.58"%,
"MEDICAL CARE RESEARCH AND REVIEW","1077-5587","1552-6801","HEALTH POLICY & SERVICES - SSCI","2,973","3.929","Q1","1.33","4.65"%,
"JOURNAL OF HEALTH ECONOMICS","0167-6296","1879-1646","HEALTH POLICY & SERVICES - SSCI","9,140","3.883","Q1","1.42","16.41"%,
"Patient-Patient Centered Outcomes Research","1178-1653","1178-1661","HEALTH POLICY & SERVICES - SSCI","1,738","3.883","Q1","1.08","40.32"%,
"European Journal of Health Economics","1618-7598","1618-7601","HEALTH POLICY & SERVICES - SSCI","3,178","3.689","Q1","1.24","44.14"%,
"Digital Health","2055-2076","2055-2076","HEALTH POLICY & SERVICES - SSCI","676","3.495","Q1","0.88","100"%,
"HEALTH SERVICES RESEARCH","0017-9124","1475-6773","HEALTH POLICY & SERVICES - SSCI","9,969","3.402","Q1","1.19","12.89"%,
"Health Systems & Reform","2328-8604","2328-8620","HEALTH POLICY & SERVICES - SSCI","493","3.391","Q1","1.01","36.23"%,
"HEALTH EXPECTATIONS","1369-6513","1369-7625","HEALTH POLICY & SERVICES - SSCI","4,873","3.377","Q1","1.13","100"%,
"HEALTH POLICY AND PLANNING","0268-1080","1460-2237","HEALTH POLICY & SERVICES - SSCI","6,543","3.344","Q1","1.13","47.48"%,
"HEALTH CARE MANAGEMENT REVIEW","0361-6274","1550-5030","HEALTH POLICY & SERVICES - SSCI","2,006","3.328","Q1","1.32","5.56"%,
"Health Research Policy and Systems","1478-4505","1478-4505","HEALTH POLICY & SERVICES - SSCI","2,789","3.318","Q1","1.12","100"%,
"FUTURE OF CHILDREN","1054-8289","1550-1558","HEALTH POLICY & SERVICES - SSCI","2,366","3.267","Q1","2.42","0"%,
"BMC Palliative Care","1472-684X","1472-684X","HEALTH POLICY & SERVICES - SSCI","2,800","3.234","Q2","1.02","100"%,
