"Journal Data Filtered By:  Selected Categories: HEMATOLOGY Selected Editions: SCIE Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"BLOOD","0006-4971","1528-0020","HEMATOLOGY - SCIE","200,027","22.113","Q1","3.14","0.82"%,
"Lancet Haematology","2352-3026","N/A","HEMATOLOGY - SCIE","5,140","18.959","Q1","3.46","6.63"%,
"Journal of Hematology & Oncology","N/A","1756-8722","HEMATOLOGY - SCIE","10,615","17.388","Q1","2.41","100"%,
"CIRCULATION RESEARCH","0009-7330","1524-4571","HEMATOLOGY - SCIE","65,425","17.367","Q1","3.54","12.65"%,
"LEUKEMIA","0887-6924","1476-5551","HEMATOLOGY - SCIE","34,181","11.528","Q1","2.22","33.86"%,
"Blood Cancer Journal","2044-5385","2044-5385","HEMATOLOGY - SCIE","4,691","11.037","Q1","1.57","100"%,
"AMERICAN JOURNAL OF HEMATOLOGY","0361-8609","1096-8652","HEMATOLOGY - SCIE","15,239","10.047","Q1","1.58","13.98"%,
"HAEMATOLOGICA","0390-6078","N/A","HEMATOLOGY - SCIE","23,612","9.941","Q1","1.51","100"%,
"ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY","1079-5642","1524-4636","HEMATOLOGY - SCIE","38,412","8.311","Q1","1.72","12.94"%,
"BLOOD REVIEWS","0268-960X","1532-1681","HEMATOLOGY - SCIE","4,171","8.25","Q1","1.18","10.97"%,
"Therapeutic Advances in Hematology","2040-6207","2040-6215","HEMATOLOGY - SCIE","1,000","7.167","Q1","0.86","79.46"%,
"BRITISH JOURNAL OF HAEMATOLOGY","0007-1048","1365-2141","HEMATOLOGY - SCIE","31,000","6.998","Q1","1.05","16.37"%,
"Blood Advances","2473-9529","2473-9537","HEMATOLOGY - SCIE","8,118","6.686","Q1","1.3","0.72"%,
"CRITICAL REVIEWS IN ONCOLOGY HEMATOLOGY","1040-8428","1879-0461","HEMATOLOGY - SCIE","10,934","6.312","Q1","0.89","9.46"%,
"STEM CELLS","1066-5099","1549-4918","HEMATOLOGY - SCIE","23,967","6.277","Q1","1.31","30.92"%,
"JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM","0271-678X","1559-7016","HEMATOLOGY - SCIE","22,732","6.2","Q1","1.43","14.98"%,
"JOURNAL OF THROMBOSIS AND HAEMOSTASIS","1538-7933","1538-7836","HEMATOLOGY - SCIE","29,353","5.824","Q1","1.13","22.59"%,
"BIOLOGY OF BLOOD AND MARROW TRANSPLANTATION","1083-8791","1523-6536","HEMATOLOGY - SCIE","17,149","5.742","Q1","1.22","80.8"%,
"Thrombosis Journal","1477-9560","1477-9560","HEMATOLOGY - SCIE","1,137","5.5","Q1","0.72","100"%,
"BONE MARROW TRANSPLANTATION","0268-3369","1476-5365","HEMATOLOGY - SCIE","16,801","5.483","Q2","1.01","8.67"%,
"CYTOTHERAPY","1465-3249","1477-2566","HEMATOLOGY - SCIE","7,694","5.414","Q2","0.98","11.82"%,
"HEMATOLOGICAL ONCOLOGY","0278-0232","1099-1069","HEMATOLOGY - SCIE","2,224","5.271","Q2","0.59","9.73"%,
"THROMBOSIS AND HAEMOSTASIS","0340-6245","2567-689X","HEMATOLOGY - SCIE","19,924","5.249","Q2","1.17","10.16"%,
"Experimental Hematology & Oncology","N/A","2162-3619","HEMATOLOGY - SCIE","891","5.133","Q2","0.75","100"%,
"JOURNAL OF LEUKOCYTE BIOLOGY","0741-5400","1938-3673","HEMATOLOGY - SCIE","21,186","4.962","Q2","0.8","14.98"%,
"TRANSFUSION MEDICINE REVIEWS","0887-7963","1532-9496","HEMATOLOGY - SCIE","1,922","4.724","Q2","0.61","7.69"%,
"HAEMOPHILIA","1351-8216","1365-2516","HEMATOLOGY - SCIE","7,988","4.287","Q2","0.69","20.96"%,
"SEMINARS IN THROMBOSIS AND HEMOSTASIS","0094-6176","1098-9064","HEMATOLOGY - SCIE","5,313","4.18","Q2","0.91","3"%,
