"Journal Data Filtered By:  Selected Categories: INFECTIOUS DISEASES Selected Editions: SCIE Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"LANCET INFECTIOUS DISEASES","1473-3099","1474-4457","INFECTIOUS DISEASES - SCIE","42,483","25.071","Q1","6.02","20.89"%,
"Lancet HIV","2352-3018","2352-3018","INFECTIOUS DISEASES - SCIE","5,368","12.767","Q1","2.99","12.81"%,
"CLINICAL INFECTIOUS DISEASES","1058-4838","1537-6591","INFECTIOUS DISEASES - SCIE","89,276","9.079","Q1","2.13","28.77"%,
"JOURNAL OF TRAVEL MEDICINE","1195-1982","1708-8305","INFECTIOUS DISEASES - SCIE","5,260","8.49","Q1","1.33","12.1"%,
"CLINICAL MICROBIOLOGY AND INFECTION","1198-743X","1469-0691","INFECTIOUS DISEASES - SCIE","24,871","8.067","Q1","1.61","13.48"%,
"Emerging Microbes & Infections","N/A","2222-1751","INFECTIOUS DISEASES - SCIE","8,988","7.163","Q1","1.37","99.67"%,
"EMERGING INFECTIOUS DISEASES","1080-6040","1080-6059","INFECTIOUS DISEASES - SCIE","44,051","6.883","Q1","1.48","100"%,
"Eurosurveillance","1025-496X","1560-7917","INFECTIOUS DISEASES - SCIE","15,123","6.307","Q1","1.52","100"%,
"Travel Medicine and Infectious Disease","1477-8939","1873-0442","INFECTIOUS DISEASES - SCIE","5,034","6.211","Q1","1.21","20.24"%,
"JOURNAL OF INFECTION","0163-4453","1532-2742","INFECTIOUS DISEASES - SCIE","15,496","6.072","Q1","1.24","17.49"%,
"INFECTIOUS DISEASE CLINICS OF NORTH AMERICA","0891-5520","1557-9824","INFECTIOUS DISEASES - SCIE","4,090","5.982","Q1","1.42","3.7"%,
"Virulence","2150-5594","2150-5608","INFECTIOUS DISEASES - SCIE","5,784","5.882","Q1","1.09","99.67"%,
"INTERNATIONAL JOURNAL OF HYGIENE AND ENVIRONMENTAL HEALTH","1438-4639","1618-131X","INFECTIOUS DISEASES - SCIE","7,425","5.84","Q1","1.77","23.94"%,
"JOURNAL OF ANTIMICROBIAL CHEMOTHERAPY","0305-7453","1460-2091","INFECTIOUS DISEASES - SCIE","38,715","5.79","Q1","1.51","15.68"%,
"Journal of the International AIDS Society","N/A","1758-2652","INFECTIOUS DISEASES - SCIE","6,474","5.396","Q1","1.15","100"%,
"Infectious Diseases and Therapy","2193-8229","2193-6382","INFECTIOUS DISEASES - SCIE","1,331","5.322","Q1","1.06","100"%,
"INTERNATIONAL JOURNAL OF ANTIMICROBIAL AGENTS","0924-8579","1872-7913","INFECTIOUS DISEASES - SCIE","20,409","5.283","Q1","1.27","5.82"%,
"JOURNAL OF INFECTIOUS DISEASES","0022-1899","1537-6613","INFECTIOUS DISEASES - SCIE","54,782","5.226","Q1","1.4","20.4"%,
"Expert Review of Anti-Infective Therapy","1478-7210","1744-8336","INFECTIOUS DISEASES - SCIE","5,263","5.091","Q1","0.75","5.19"%,
"ACS Infectious Diseases","2373-8227","N/A","INFECTIOUS DISEASES - SCIE","3,865","5.084","Q1","1.47","8.03"%,
