"Journal Data Filtered By:  Selected Categories: MATERIALS SCIENCE, BIOMATERIALS Selected Editions: SCIE Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"Bioactive Materials","N/A","2452-199X","MATERIALS SCIENCE, BIOMATERIALS - SCIE","2,145","14.593","Q1","1.69","100"%,
"BIOMATERIALS","0142-9612","1878-5905","MATERIALS SCIENCE, BIOMATERIALS - SCIE","126,871","12.479","Q1","2.7","6.97"%,
"Biofabrication","1758-5082","1758-5090","MATERIALS SCIENCE, BIOMATERIALS - SCIE","6,729","9.954","Q1","2.02","16.55"%,
"Advanced Healthcare Materials","2192-2640","2192-2659","MATERIALS SCIENCE, BIOMATERIALS - SCIE","17,525","9.933","Q1","1.4","8.21"%,
"Acta Biomaterialia","1742-7061","1878-7568","MATERIALS SCIENCE, BIOMATERIALS - SCIE","51,403","8.947","Q1","1.76","7.89"%,
"Materials Today Bio","2590-0064","2590-0064","MATERIALS SCIENCE, BIOMATERIALS - SCIE","264","7.348","Q1","1.13","100"%,
"Materials Science & Engineering C-Materials for Biological Applications","0928-4931","1873-0191","MATERIALS SCIENCE, BIOMATERIALS - SCIE","50,537","7.328","Q1","1.27","1.7"%,
"Biomaterials Science","2047-4830","2047-4849","MATERIALS SCIENCE, BIOMATERIALS - SCIE","10,485","6.843","Q1","1.15","6.84"%,
"International Journal of Bioprinting","2424-7723","2424-8002","MATERIALS SCIENCE, BIOMATERIALS - SCIE","667","6.638","Q1","1.18","89.02"%,
"Tissue Engineering Part B-Reviews","1937-3368","1937-3376","MATERIALS SCIENCE, BIOMATERIALS - SCIE","4,536","6.389","Q1","0.96","5.8"%,
"Regenerative Biomaterials","2056-3418","2056-3426","MATERIALS SCIENCE, BIOMATERIALS - SCIE","1,142","6.353","Q2","0.72","100"%,
"Journal of Materials Chemistry B","2050-750X","2050-7518","MATERIALS SCIENCE, BIOMATERIALS - SCIE","32,237","6.331","Q2","1.04","4.71"%,
"Artificial Cells Nanomedicine and Biotechnology","2169-1401","2169-141X","MATERIALS SCIENCE, BIOMATERIALS - SCIE","8,530","5.678","Q2","1.15","51.85"%,
"DENTAL MATERIALS","0109-5641","1879-0097","MATERIALS SCIENCE, BIOMATERIALS - SCIE","17,990","5.304","Q2","1.6","2.53"%,
"COLLOIDS AND SURFACES B-BIOINTERFACES","0927-7765","1873-4367","MATERIALS SCIENCE, BIOMATERIALS - SCIE","38,874","5.268","Q2","1.03","1.9"%,
