"Journal Data Filtered By:  Selected Categories: MEDICAL INFORMATICS Selected Editions: SCIE Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"Lancet Digital Health","N/A","2589-7500","MEDICAL INFORMATICS - SCIE","1,260","24.519","Q1","3.41","100"%,
"npj Digital Medicine","2398-6352","2398-6352","MEDICAL INFORMATICS - SCIE","2,406","11.653","Q1","3.24","100"%,
"JOURNAL OF BIOMEDICAL INFORMATICS","1532-0464","1532-0480","MEDICAL INFORMATICS - SCIE","12,255","6.317","Q1","1.29","3.49"%,
"IEEE Journal of Biomedical and Health Informatics","2168-2194","2168-2208","MEDICAL INFORMATICS - SCIE","7,850","5.772","Q1","1.74","0"%,
"COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE","0169-2607","1872-7565","MEDICAL INFORMATICS - SCIE","12,277","5.428","Q1","1.28","4.24"%,
"JOURNAL OF MEDICAL INTERNET RESEARCH","1438-8871","N/A","MEDICAL INFORMATICS - SCIE","26,102","5.428","Q1","1.55","99.12"%,
"ARTIFICIAL INTELLIGENCE IN MEDICINE","0933-3657","1873-2860","MEDICAL INFORMATICS - SCIE","4,245","5.326","Q1","1.3","7"%,
"JMIR mHealth and uHealth","2291-5222","2291-5222","MEDICAL INFORMATICS - SCIE","7,694","4.773","Q2","1.33","100"%,
"JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION","1067-5027","1527-974X","MEDICAL INFORMATICS - SCIE","12,078","4.497","Q2","1.43","25.55"%,
"JOURNAL OF MEDICAL SYSTEMS","0148-5598","1573-689X","MEDICAL INFORMATICS - SCIE","8,017","4.46","Q2","1.23","6.56"%,
"Internet Interventions-The Application of Information Technology in Mental and Behavioural Health","N/A","2214-7829","MEDICAL INFORMATICS - SCIE","1,658","4.333","Q2","1.2","100"%,
"JMIR Serious Games","2291-9279","2291-9279","MEDICAL INFORMATICS - SCIE","641","4.143","Q2","1.06","85"%,
"INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS","1386-5056","1872-8243","MEDICAL INFORMATICS - SCIE","7,651","4.046","Q2","1.13","10.48"%,
"Digital Health","2055-2076","2055-2076","MEDICAL INFORMATICS - SCIE","676","3.495","Q2","0.88","100"%,
"Health Information Management Journal","1833-3583","1833-3575","MEDICAL INFORMATICS - SCIE","541","3.185","Q2","0.78","4.84"%,
"STATISTICAL METHODS IN MEDICAL RESEARCH","0962-2802","1477-0334","MEDICAL INFORMATICS - SCIE","6,654","3.021","Q3","1.08","11.99"%,
"JMIR Medical Informatics","N/A","2291-9694","MEDICAL INFORMATICS - SCIE","1,343","2.955","Q3","0.7","100"%,
"BMC Medical Informatics and Decision Making","N/A","1472-6947","MEDICAL INFORMATICS - SCIE","6,015","2.796","Q3","0.77","100"%,
"Health Informatics Journal","1460-4582","1741-2811","MEDICAL INFORMATICS - SCIE","1,497","2.681","Q3","0.98","41.76"%,
"MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING","0140-0118","1741-0444","MEDICAL INFORMATICS - SCIE","7,019","2.602","Q3","0.72","9.42"%,
"MEDICAL DECISION MAKING","0272-989X","1552-681X","MEDICAL INFORMATICS - SCIE","6,391","2.583","Q3","0.86","19.56"%,
"Informatics for Health & Social Care","1753-8157","1753-8165","MEDICAL INFORMATICS - SCIE","511","2.439","Q3","0.73","4.35"%,
"JOURNAL OF EVALUATION IN CLINICAL PRACTICE","1356-1294","1365-2753","MEDICAL INFORMATICS - SCIE","5,408","2.431","Q4","0.72","12.42"%,
"STATISTICS IN MEDICINE","0277-6715","1097-0258","MEDICAL INFORMATICS - SCIE","33,374","2.373","Q4","0.82","14.58"%,
"Applied Clinical Informatics","1869-0327","1869-0327","MEDICAL INFORMATICS - SCIE","1,481","2.342","Q4","0.62","11.81"%,
"INTERNATIONAL JOURNAL OF TECHNOLOGY ASSESSMENT IN HEALTH CARE","0266-4623","1471-6348","MEDICAL INFORMATICS - SCIE","2,522","2.188","Q4","0.5","18.18"%,
"METHODS OF INFORMATION IN MEDICINE","0026-1270","2511-705X","MEDICAL INFORMATICS - SCIE","1,601","2.176","Q4","0.58","28.26"%,
"CIN-COMPUTERS INFORMATICS NURSING","1538-2931","1538-9774","MEDICAL INFORMATICS - SCIE","1,349","1.985","Q4","0.6","3.03"%,
"Therapeutic Innovation & Regulatory Science","2168-4790","2168-4804","MEDICAL INFORMATICS - SCIE","907","1.778","Q4","0.31","14.57"%,
"Biomedical Engineering-Biomedizinische Technik","0013-5585","1862-278X","MEDICAL INFORMATICS - SCIE","1,292","1.411","Q4","0.35","0.47"%,

Copyright (c) 2021 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
