"Journal Data Filtered By:  Selected Categories: MEDICAL LABORATORY TECHNOLOGY Selected Editions: SCIE Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"CLINICAL CHEMISTRY","0009-9147","1530-8561","MEDICAL LABORATORY TECHNOLOGY - SCIE","31,189","8.327","Q1","2.63","10.7"%,
"Translational Research","1931-5244","1878-1810","MEDICAL LABORATORY TECHNOLOGY - SCIE","5,766","7.012","Q1","1.6","8.7"%,
"CRITICAL REVIEWS IN CLINICAL LABORATORY SCIENCES","1040-8363","1549-781X","MEDICAL LABORATORY TECHNOLOGY - SCIE","2,460","6.25","Q1","1.06","5.98"%,
"ARCHIVES OF PATHOLOGY & LABORATORY MEDICINE","0003-9985","1543-2165","MEDICAL LABORATORY TECHNOLOGY - SCIE","13,569","5.534","Q1","1.64","1.24"%,
"Advances in Clinical Chemistry","0065-2423","2162-9471","MEDICAL LABORATORY TECHNOLOGY - SCIE","1,701","5.394","Q1","0.84","0"%,
"BRITISH JOURNAL OF BIOMEDICAL SCIENCE","0967-4845","N/A","MEDICAL LABORATORY TECHNOLOGY - SCIE","983","3.829","Q1","1.29","0.84"%,
"CLINICA CHIMICA ACTA","0009-8981","1873-3492","MEDICAL LABORATORY TECHNOLOGY - SCIE","22,229","3.786","Q1","1.22","4.46"%,
"CLINICAL CHEMISTRY AND LABORATORY MEDICINE","1434-6621","1437-4331","MEDICAL LABORATORY TECHNOLOGY - SCIE","11,462","3.694","Q2","1.38","2.94"%,
"THERAPEUTIC DRUG MONITORING","0163-4356","1536-3694","MEDICAL LABORATORY TECHNOLOGY - SCIE","5,137","3.681","Q2","0.87","3.33"%,
"PHARMACEUTICAL BIOLOGY","1388-0209","1744-5116","MEDICAL LABORATORY TECHNOLOGY - SCIE","8,346","3.503","Q2","1.12","100"%,
"Annals of Laboratory Medicine","2234-3806","2234-3814","MEDICAL LABORATORY TECHNOLOGY - SCIE","1,743","3.464","Q2","1.16","43.16"%,
"SEMINARS IN DIAGNOSTIC PATHOLOGY","0740-2570","1930-1111","MEDICAL LABORATORY TECHNOLOGY - SCIE","1,754","3.464","Q2","0.95","1.64"%,
"CLINICAL BIOCHEMISTRY","0009-9120","1873-2933","MEDICAL LABORATORY TECHNOLOGY - SCIE","10,501","3.281","Q2","1.06","6.07"%,
"CYTOMETRY PART B-CLINICAL CYTOMETRY","1552-4949","1552-4957","MEDICAL LABORATORY TECHNOLOGY - SCIE","2,051","3.058","Q2","1.04","8.61"%,
"JOURNAL OF CLINICAL LABORATORY ANALYSIS","0887-8013","1098-2825","MEDICAL LABORATORY TECHNOLOGY - SCIE","3,903","2.352","Q3","0.93","74.52"%,
"Biochemia Medica","1330-0962","1846-7482","MEDICAL LABORATORY TECHNOLOGY - SCIE","3,491","2.313","Q3","0.82","100"%,
"Biopreservation and Biobanking","1947-5535","1947-5543","MEDICAL LABORATORY TECHNOLOGY - SCIE","1,309","2.3","Q3","0.49","11.79"%,
"Clinical Mass Spectrometry","2376-9998","2213-8005","MEDICAL LABORATORY TECHNOLOGY - SCIE","181","2.146","Q3","0.76","7.04"%,
"APPLIED IMMUNOHISTOCHEMISTRY & MOLECULAR MORPHOLOGY","1541-2016","1533-4058","MEDICAL LABORATORY TECHNOLOGY - SCIE","2,490","2.085","Q3","0.89","4.7"%,
"ANNALS OF CLINICAL BIOCHEMISTRY","0004-5632","1758-1001","MEDICAL LABORATORY TECHNOLOGY - SCIE","3,797","2.057","Q3","0.75","5.56"%,
"CLINICS IN LABORATORY MEDICINE","0272-2712","1557-9832","MEDICAL LABORATORY TECHNOLOGY - SCIE","1,772","1.935","Q3","1.05","0"%,
"DIAGNOSTIC CYTOPATHOLOGY","8755-1039","1097-0339","MEDICAL LABORATORY TECHNOLOGY - SCIE","3,939","1.582","Q4","0.55","4.43"%,
"LABORATORY MEDICINE","0007-5027","1943-7730","MEDICAL LABORATORY TECHNOLOGY - SCIE","1,330","1.525","Q4","0.48","1.41"%,
"ANNALS OF CLINICAL AND LABORATORY SCIENCE","0091-7370","1550-8080","MEDICAL LABORATORY TECHNOLOGY - SCIE","2,175","1.256","Q4","0.45","0"%,
"Clinical Laboratory","1433-6510","N/A","MEDICAL LABORATORY TECHNOLOGY - SCIE","2,575","1.138","Q4","0.39","0"%,
"Journal of Cytology","0970-9371","0974-5165","MEDICAL LABORATORY TECHNOLOGY - SCIE","655","1","Q4","0.35","100"%,
"ANNALES DE BIOLOGIE CLINIQUE","0003-3898","1950-6112","MEDICAL LABORATORY TECHNOLOGY - SCIE","632","0.459","Q4","0.17","18.64"%,
"Journal of Laboratory Medicine","2567-9430","2567-9449","MEDICAL LABORATORY TECHNOLOGY - SCIE","185","0.379","Q4","0.2","36.15"%,
"ACTA BIOQUIMICA CLINICA LATINOAMERICANA","0325-2957","1851-6114","MEDICAL LABORATORY TECHNOLOGY - SCIE","114","0.128","Q4","0.06","0"%,

Copyright (c) 2021 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
