"Journal Data Filtered By:  Selected Categories: ONCOLOGY Selected Editions: SCIE Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"CA-A CANCER JOURNAL FOR CLINICIANS","0007-9235","1542-4863","ONCOLOGY - SCIE","55,868","508.702","Q1","77.64","8.75"%,
"Nature Reviews Clinical Oncology","1759-4774","1759-4782","ONCOLOGY - SCIE","17,973","66.675","Q1","7.72","4.38"%,
"NATURE REVIEWS CANCER","1474-175X","1474-1768","ONCOLOGY - SCIE","62,391","60.716","Q1","7.64","0.68"%,
"JOURNAL OF CLINICAL ONCOLOGY","0732-183X","1527-7755","ONCOLOGY - SCIE","189,443","44.544","Q1","5.25","15.7"%,
"LANCET ONCOLOGY","1470-2045","1474-5488","ONCOLOGY - SCIE","72,804","41.316","Q1","7.95","5.98"%,
"Cancer Discovery","2159-8274","2159-8290","ONCOLOGY - SCIE","27,030","39.397","Q1","6.48","1.39"%,
"ANNALS OF ONCOLOGY","0923-7534","1569-8041","ONCOLOGY - SCIE","61,542","32.976","Q1","3.54","54.7"%,
"JAMA Oncology","2374-2437","2374-2445","ONCOLOGY - SCIE","22,382","31.777","Q1","5.65","10.18"%,
"CANCER CELL","1535-6108","1878-3686","ONCOLOGY - SCIE","50,839","31.743","Q1","5.31","10.81"%,
"Molecular Cancer","N/A","1476-4598","ONCOLOGY - SCIE","24,931","27.401","Q1","3.91","100"%,
"Journal of Hematology & Oncology","N/A","1756-8722","ONCOLOGY - SCIE","10,615","17.388","Q1","2.41","100"%,
"SEMINARS IN CANCER BIOLOGY","1044-579X","1096-3650","ONCOLOGY - SCIE","11,552","15.707","Q1","1.75","15.97"%,
"Journal of Thoracic Oncology","1556-0864","1556-1380","ONCOLOGY - SCIE","24,405","15.609","Q1","2.75","16.47"%,
"Trends in Cancer","2405-8025","2405-8033","ONCOLOGY - SCIE","4,237","14.226","Q1","1.49","12.36"%,
"Journal for ImmunoTherapy of Cancer","N/A","2051-1426","ONCOLOGY - SCIE","11,042","13.751","Q1","2.29","98.89"%,
"JNCI-Journal of the National Cancer Institute","0027-8874","1460-2105","ONCOLOGY - SCIE","42,005","13.506","Q1","2.35","17.91"%,
"CANCER RESEARCH","0008-5472","1538-7445","ONCOLOGY - SCIE","159,236","12.701","Q1","2.05","1.61"%,
"CLINICAL CANCER RESEARCH","1078-0432","1557-3265","ONCOLOGY - SCIE","105,958","12.531","Q1","2.52","1.17"%,
"NEURO-ONCOLOGY","1522-8517","1523-5866","ONCOLOGY - SCIE","17,812","12.3","Q1","2.5","12.06"%,
"CANCER TREATMENT REVIEWS","0305-7372","1532-1967","ONCOLOGY - SCIE","11,834","12.111","Q1","1.42","20.81"%,
"Journal of the National Comprehensive Cancer Network","1540-1405","1540-1413","ONCOLOGY - SCIE","10,050","11.908","Q1","1.95","0.44"%,
"Liver Cancer","2235-1795","1664-5553","ONCOLOGY - SCIE","1,579","11.74","Q1","1.57","100"%,
"LEUKEMIA","0887-6924","1476-5551","ONCOLOGY - SCIE","34,181","11.528","Q1","2.22","33.86"%,
