"Journal Data Filtered By:  Selected Categories: OTORHINOLARYNGOLOGY Selected Editions: SCIE Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"JAMA Otolaryngology-Head & Neck Surgery","2168-6181","2168-619X","OTORHINOLARYNGOLOGY - SCIE","5,965","6.223","Q1","2.02","3.07"%,
"International Forum of Allergy & Rhinology","2042-6976","2042-6984","OTORHINOLARYNGOLOGY - SCIE","5,783","3.858","Q1","1.8","4.14"%,
"RHINOLOGY","0300-0729","0300-0729","OTORHINOLARYNGOLOGY - SCIE","3,884","3.681","Q1","1.82","0"%,
"EAR AND HEARING","0196-0202","1538-4667","OTORHINOLARYNGOLOGY - SCIE","7,712","3.57","Q1","1.78","10.69"%,
"OTOLARYNGOLOGY-HEAD AND NECK SURGERY","0194-5998","1097-6817","OTORHINOLARYNGOLOGY - SCIE","19,487","3.497","Q1","1.28","2.82"%,
"DYSPHAGIA","0179-051X","1432-0460","OTORHINOLARYNGOLOGY - SCIE","5,879","3.438","Q1","1.52","12"%,
"Clinical and Experimental Otorhinolaryngology","1976-8710","2005-0720","OTORHINOLARYNGOLOGY - SCIE","1,240","3.372","Q1","1.28","100"%,
"OTOLARYNGOLOGIC CLINICS OF NORTH AMERICA","0030-6665","1557-8259","OTORHINOLARYNGOLOGY - SCIE","3,873","3.346","Q1","1.04","1.07"%,
"LARYNGOSCOPE","0023-852X","1531-4995","OTORHINOLARYNGOLOGY - SCIE","32,798","3.325","Q1","1.16","3.76"%,
"Trends in Hearing","2331-2165","2331-2165","OTORHINOLARYNGOLOGY - SCIE","1,075","3.293","Q1","1.39","100"%,
"HEARING RESEARCH","0378-5955","1878-5891","OTORHINOLARYNGOLOGY - SCIE","11,475","3.208","Q1","1.39","16.53"%,
"HEAD AND NECK-JOURNAL FOR THE SCIENCES AND SPECIALTIES OF THE HEAD AND NECK","1043-3074","1097-0347","OTORHINOLARYNGOLOGY - SCIE","16,925","3.147","Q2","1.27","6.81"%,
"JARO-JOURNAL OF THE ASSOCIATION FOR RESEARCH IN OTOLARYNGOLOGY","1525-3961","1438-7573","OTORHINOLARYNGOLOGY - SCIE","2,642","3.057","Q2","1.09","20.93"%,
"CLINICAL OTOLARYNGOLOGY","1749-4478","1749-4486","OTORHINOLARYNGOLOGY - SCIE","4,916","2.597","Q2","0.99","12"%,
"EUROPEAN ARCHIVES OF OTO-RHINO-LARYNGOLOGY","0937-4477","1434-4726","OTORHINOLARYNGOLOGY - SCIE","13,026","2.503","Q2","1.05","15.97"%,
"American Journal of Rhinology & Allergy","1945-8924","1945-8932","OTORHINOLARYNGOLOGY - SCIE","4,668","2.467","Q2","1.2","2.76"%,
"Laryngoscope Investigative Otolaryngology","2378-8038","2378-8038","OTORHINOLARYNGOLOGY - SCIE","882","2.458","Q2","0.97","100"%,
"Journal of Otolaryngology-Head & Neck Surgery","1916-0216","1916-0216","OTORHINOLARYNGOLOGY - SCIE","2,765","2.441","Q2","1.04","100"%,
"JOURNAL OF VESTIBULAR RESEARCH-EQUILIBRIUM & ORIENTATION","0957-4271","1878-6464","OTORHINOLARYNGOLOGY - SCIE","1,695","2.435","Q2","0.97","0"%,
"OTOLOGY & NEUROTOLOGY","1531-7129","1537-4505","OTORHINOLARYNGOLOGY - SCIE","11,313","2.311","Q2","0.81","2.84"%,
"Acta Otorhinolaryngologica Italica","0392-100X","1827-675X","OTORHINOLARYNGOLOGY - SCIE","2,155","2.124","Q2","0.9","100"%,
"INTERNATIONAL JOURNAL OF AUDIOLOGY","1499-2027","1708-8186","OTORHINOLARYNGOLOGY - SCIE","4,864","2.117","Q2","0.95","16.67"%,
"European Annals of Otorhinolaryngology-Head and Neck Diseases","1879-7296","1879-730X","OTORHINOLARYNGOLOGY - SCIE","1,521","2.08","Q3","0.66","0"%,
"Current Opinion in Otolaryngology & Head and Neck Surgery","1068-9508","1531-6998","OTORHINOLARYNGOLOGY - SCIE","2,752","2.064","Q3","0.59","0.48"%,
"JOURNAL OF VOICE","0892-1997","1873-4588","OTORHINOLARYNGOLOGY - SCIE","6,868","2.009","Q3","0.88","1.44"%,
"AURIS NASUS LARYNX","0385-8146","1879-1476","OTORHINOLARYNGOLOGY - SCIE","3,158","1.863","Q3","0.87","2.2"%,
"AUDIOLOGY AND NEURO-OTOLOGY","1420-3030","1421-9700","OTORHINOLARYNGOLOGY - SCIE","2,463","1.854","Q3","0.68","21.31"%,
"Brazilian Journal of Otorhinolaryngology","1808-8694","1808-8686","OTORHINOLARYNGOLOGY - SCIE","2,280","1.811","Q3","0.71","100"%,
"AMERICAN JOURNAL OF OTOLARYNGOLOGY","0196-0709","1532-818X","OTORHINOLARYNGOLOGY - SCIE","3,986","1.808","Q3","0.75","2.38"%,
"ENT-EAR NOSE & THROAT JOURNAL","0145-5613","1942-7522","OTORHINOLARYNGOLOGY - SCIE","2,236","1.697","Q3","0.35","77.74"%,
"INTERNATIONAL JOURNAL OF PEDIATRIC OTORHINOLARYNGOLOGY","0165-5876","1872-8464","OTORHINOLARYNGOLOGY - SCIE","10,999","1.675","Q3","0.71","1.74"%,
"Journal of the American Academy of Audiology","1050-0545","2157-3107","OTORHINOLARYNGOLOGY - SCIE","2,878","1.664","Q3","0.81","0"%,
"ANNALS OF OTOLOGY RHINOLOGY AND LARYNGOLOGY","0003-4894","1943-572X","OTORHINOLARYNGOLOGY - SCIE","8,566","1.547","Q3","0.71","1.97"%,
"ORL-Journal for Oto-Rhino-Laryngology Head and Neck Surgery","0301-1569","1423-0275","OTORHINOLARYNGOLOGY - SCIE","541","1.538","Q4","0.61","3.15"%,
"ACTA OTO-LARYNGOLOGICA","0001-6489","1651-2251","OTORHINOLARYNGOLOGY - SCIE","8,405","1.494","Q4","0.72","4.34"%,
"American Journal of Audiology","1059-0889","1558-9137","OTORHINOLARYNGOLOGY - SCIE","1,319","1.493","Q4","0.8","5.15"%,
"Logopedics Phoniatrics Vocology","1401-5439","1651-2022","OTORHINOLARYNGOLOGY - SCIE","566","1.487","Q4","0.64","16.84"%,
"JOURNAL OF LARYNGOLOGY AND OTOLOGY","0022-2151","1748-5460","OTORHINOLARYNGOLOGY - SCIE","7,360","1.469","Q4","0.63","7.82"%,
"HNO","0017-6192","1433-0458","OTORHINOLARYNGOLOGY - SCIE","1,608","1.284","Q4","0.62","11.36"%,
"LARYNGO-RHINO-OTOLOGIE","0935-8943","1438-8685","OTORHINOLARYNGOLOGY - SCIE","990","1.057","Q4","0.48","14.85"%,
"Journal of International Advanced Otology","1308-7649","2148-3817","OTORHINOLARYNGOLOGY - SCIE","671","1.017","Q4","0.45","100"%,
"FOLIA PHONIATRICA ET LOGOPAEDICA","1021-7762","1421-9972","OTORHINOLARYNGOLOGY - SCIE","1,336","0.849","Q4","0.4","4.5"%,
"B-ENT","N/A","1781-782X","OTORHINOLARYNGOLOGY - SCIE","475","0.082","Q4","0.08","0"%,
"International Journal of Pediatric Otorhinolaryngology Case Reports","N/A","2588-9109","OTORHINOLARYNGOLOGY - SCIE","1","0.056","Q4","0.04","0"%,

Copyright (c) 2021 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
