"Journal Data Filtered By:  Selected Categories: PATHOLOGY Selected Editions: SCIE Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"Annual Review of Pathology-Mechanisms of Disease","1553-4006","N/A","PATHOLOGY - SCIE","6,874","23.472","Q1","4.38","0"%,
"ACTA NEUROPATHOLOGICA","0001-6322","1432-0533","PATHOLOGY - SCIE","28,031","17.088","Q1","4.12","51.7"%,
"Seminars in Immunopathology","1863-2297","1863-2300","PATHOLOGY - SCIE","5,651","9.623","Q1","1.7","35.71"%,
"NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY","0305-1846","1365-2990","PATHOLOGY - SCIE","4,791","8.09","Q1","1.86","38.18"%,
"JOURNAL OF PATHOLOGY","0022-3417","1096-9896","PATHOLOGY - SCIE","22,441","7.996","Q1","2.06","34.11"%,
"MODERN PATHOLOGY","0893-3952","1530-0285","PATHOLOGY - SCIE","18,699","7.842","Q1","2.64","6.29"%,
"CELLULAR ONCOLOGY","2211-3428","2211-3436","PATHOLOGY - SCIE","2,462","6.73","Q1","1.36","20.85"%,
"BRAIN PATHOLOGY","1015-6305","1750-3639","PATHOLOGY - SCIE","6,559","6.508","Q1","2.02","33.48"%,
"AMERICAN JOURNAL OF SURGICAL PATHOLOGY","0147-5185","1532-0979","PATHOLOGY - SCIE","26,272","6.394","Q1","2.38","2.61"%,
"Disease Models & Mechanisms","1754-8403","1754-8411","PATHOLOGY - SCIE","8,412","5.758","Q1","1.25","100"%,
"LABORATORY INVESTIGATION","0023-6837","1530-0307","PATHOLOGY - SCIE","12,539","5.662","Q1","1.6","9.89"%,
"Journal of Pathology Clinical Research","N/A","2056-4538","PATHOLOGY - SCIE","685","5.638","Q1","1.74","100"%,
"JOURNAL OF MOLECULAR DIAGNOSTICS","1525-1578","1943-7811","PATHOLOGY - SCIE","5,407","5.568","Q1","2.2","18.37"%,
"ARCHIVES OF PATHOLOGY & LABORATORY MEDICINE","0003-9985","1543-2165","PATHOLOGY - SCIE","13,569","5.534","Q1","1.64","1.24"%,
"PATHOLOGY","0031-3025","1465-3931","PATHOLOGY - SCIE","4,251","5.306","Q1","1.16","2.94"%,
"CANCER CYTOPATHOLOGY","1934-662X","1934-6638","PATHOLOGY - SCIE","3,904","5.284","Q1","1.34","5.67"%,
"EXPERT REVIEW OF MOLECULAR DIAGNOSTICS","1473-7159","1744-8352","PATHOLOGY - SCIE","3,943","5.225","Q1","0.97","3.53"%,
"HISTOPATHOLOGY","0309-0167","1365-2559","PATHOLOGY - SCIE","13,171","5.087","Q1","1.07","12.32"%,
"HLA","2059-2302","2059-2310","PATHOLOGY - SCIE","1,447","4.513","Q1","0.53","14.47"%,
"PATHOBIOLOGY","1015-2008","1423-0291","PATHOLOGY - SCIE","1,415","4.342","Q2","0.85","7.5"%,
"AMERICAN JOURNAL OF PATHOLOGY","0002-9440","1525-2191","PATHOLOGY - SCIE","43,729","4.307","Q2","1.47","9.42"%,
"JOURNAL OF ORAL PATHOLOGY & MEDICINE","0904-2512","1600-0714","PATHOLOGY - SCIE","6,375","4.253","Q2","1.25","3.07"%,
"VIRCHOWS ARCHIV","0945-6317","1432-2307","PATHOLOGY - SCIE","7,825","4.064","Q2","1.16","21.82"%,
"ENDOCRINE PATHOLOGY","1046-3976","1559-0097","PATHOLOGY - SCIE","1,734","3.943","Q2","0.96","15.83"%,
"ADVANCES IN ANATOMIC PATHOLOGY","1072-4109","1533-4031","PATHOLOGY - SCIE","1,955","3.875","Q2","0.86","0.94"%,
"JOURNAL OF NEUROPATHOLOGY AND EXPERIMENTAL NEUROLOGY","0022-3069","1554-6578","PATHOLOGY - SCIE","11,189","3.685","Q2","1","10.26"%,
"HUMAN PATHOLOGY","0046-8177","1532-8392","PATHOLOGY - SCIE","15,964","3.466","Q2","1.19","3.78"%,
"SEMINARS IN DIAGNOSTIC PATHOLOGY","0740-2570","1930-1111","PATHOLOGY - SCIE","1,754","3.464","Q2","0.95","1.64"%,
"DISEASE MARKERS","0278-0240","1875-8630","PATHOLOGY - SCIE","5,699","3.434","Q2","0.77","100"%,
"JOURNAL OF CLINICAL PATHOLOGY","0021-9746","1472-4146","PATHOLOGY - SCIE","13,032","3.411","Q2","1.02","9.66"%,
"EXPERIMENTAL AND MOLECULAR PATHOLOGY","0014-4800","1096-0945","PATHOLOGY - SCIE","4,792","3.362","Q2","1.13","3.13"%,
"Brain Tumor Pathology","1433-7398","1861-387X","PATHOLOGY - SCIE","866","3.298","Q2","0.7","2.56"%,
"PATHOLOGY RESEARCH AND PRACTICE","0344-0338","1618-0631","PATHOLOGY - SCIE","6,336","3.25","Q2","1.04","6.21"%,
"INTERNATIONAL JOURNAL OF IMMUNOPATHOLOGY AND PHARMACOLOGY","0394-6320","2058-7384","PATHOLOGY - SCIE","2,857","3.219","Q2","0.74","100"%,
"APMIS","0903-4641","1600-0463","PATHOLOGY - SCIE","5,007","3.205","Q2","0.66","8.49"%,
"PATHOLOGY & ONCOLOGY RESEARCH","1219-4956","1532-2807","PATHOLOGY - SCIE","3,694","3.201","Q2","0.83","17"%,
