"Journal Data Filtered By:  Selected Categories: PERIPHERAL VASCULAR DISEASE Selected Editions: SCIE Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"CIRCULATION","0009-7322","1524-4539","PERIPHERAL VASCULAR DISEASE - SCIE","190,210","29.69","Q1","6.16","15.19"%,
"CIRCULATION RESEARCH","0009-7330","1524-4571","PERIPHERAL VASCULAR DISEASE - SCIE","65,425","17.367","Q1","3.54","12.65"%,
"HYPERTENSION","0194-911X","1524-4563","PERIPHERAL VASCULAR DISEASE - SCIE","44,350","10.19","Q1","1.94","12.36"%,
"ANGIOGENESIS","0969-6970","1573-7209","PERIPHERAL VASCULAR DISEASE - SCIE","4,305","9.596","Q1","2.26","31.71"%,
"ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY","1079-5642","1524-4636","PERIPHERAL VASCULAR DISEASE - SCIE","38,412","8.311","Q1","1.72","12.94"%,
"STROKE","0039-2499","1524-4628","PERIPHERAL VASCULAR DISEASE - SCIE","78,912","7.914","Q1","1.81","9.99"%,
"EUROPEAN JOURNAL OF VASCULAR AND ENDOVASCULAR SURGERY","1078-5884","1532-2165","PERIPHERAL VASCULAR DISEASE - SCIE","12,166","7.069","Q1","1.75","4.66"%,
"Journal of Stroke","2287-6391","2287-6405","PERIPHERAL VASCULAR DISEASE - SCIE","1,692","6.967","Q1","1.38","100"%,
"JOURNAL OF THROMBOSIS AND HAEMOSTASIS","1538-7933","1538-7836","PERIPHERAL VASCULAR DISEASE - SCIE","29,353","5.824","Q1","1.13","22.59"%,
"Thrombosis Journal","1477-9560","1477-9560","PERIPHERAL VASCULAR DISEASE - SCIE","1,137","5.5","Q1","0.72","100"%,
"CURRENT HYPERTENSION REPORTS","1522-6417","1534-3111","PERIPHERAL VASCULAR DISEASE - SCIE","4,458","5.369","Q1","0.81","10.77"%,
"International Journal of Stroke","1747-4930","1747-4949","PERIPHERAL VASCULAR DISEASE - SCIE","6,321","5.266","Q1","1.21","11.67"%,
"THROMBOSIS AND HAEMOSTASIS","0340-6245","2567-689X","PERIPHERAL VASCULAR DISEASE - SCIE","19,924","5.249","Q1","1.17","10.16"%,
"ATHEROSCLEROSIS","0021-9150","1879-1484","PERIPHERAL VASCULAR DISEASE - SCIE","27,929","5.162","Q1","1.06","15.08"%,
"Current Atherosclerosis Reports","1523-3804","1534-6242","PERIPHERAL VASCULAR DISEASE - SCIE","3,215","5.113","Q1","0.94","12.78"%,
"Journal of Atherosclerosis and Thrombosis","1340-3478","1880-3873","PERIPHERAL VASCULAR DISEASE - SCIE","4,282","4.928","Q1","0.88","99.65"%,
"JOURNAL OF HYPERTENSION","0263-6352","1473-5598","PERIPHERAL VASCULAR DISEASE - SCIE","19,652","4.844","Q2","0.97","4.81"%,
"CURRENT OPINION IN LIPIDOLOGY","0957-9672","1473-6535","PERIPHERAL VASCULAR DISEASE - SCIE","4,741","4.776","Q2","0.65","3.16"%,
"AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY","0363-6135","1522-1539","PERIPHERAL VASCULAR DISEASE - SCIE","30,771","4.733","Q2","1.1","3.27"%,
"JOURNAL OF VASCULAR SURGERY","0741-5214","N/A","PERIPHERAL VASCULAR DISEASE - SCIE","31,991","4.268","Q2","1.16","2.7"%,
"SEMINARS IN THROMBOSIS AND HEMOSTASIS","0094-6176","1098-9064","PERIPHERAL VASCULAR DISEASE - SCIE","5,313","4.18","Q2","0.91","3"%,
"THROMBOSIS RESEARCH","0049-3848","1879-2472","PERIPHERAL VASCULAR DISEASE - SCIE","16,275","3.944","Q2","0.76","7.67"%,
"HYPERTENSION RESEARCH","0916-9636","1348-4214","PERIPHERAL VASCULAR DISEASE - SCIE","6,915","3.872","Q2","0.79","8.79"%,
"Journal of Clinical Hypertension","1524-6175","1751-7176","PERIPHERAL VASCULAR DISEASE - SCIE","5,391","3.738","Q2","0.66","12.94"%,
"ANGIOLOGY","0003-3197","1940-1574","PERIPHERAL VASCULAR DISEASE - SCIE","3,724","3.619","Q2","0.67","1.9"%,
"MICROVASCULAR RESEARCH","0026-2862","1095-9319","PERIPHERAL VASCULAR DISEASE - SCIE","4,877","3.514","Q2","0.82","4.64"%,
"JOURNAL OF ENDOVASCULAR THERAPY","1526-6028","1545-1550","PERIPHERAL VASCULAR DISEASE - SCIE","4,318","3.487","Q2","1.04","11.58"%,
"JOURNAL OF VASCULAR AND INTERVENTIONAL RADIOLOGY","1051-0443","1535-7732","PERIPHERAL VASCULAR DISEASE - SCIE","11,063","3.464","Q2","0.77","3.81"%,
"SHOCK","1073-2322","1540-0514","PERIPHERAL VASCULAR DISEASE - SCIE","9,489","3.454","Q2","1.08","5.11"%,
"Diabetes & Vascular Disease Research","1479-1641","1752-8984","PERIPHERAL VASCULAR DISEASE - SCIE","1,761","3.291","Q2","0.68","35.83"%,
"VASCULAR MEDICINE","1358-863X","1477-0377","PERIPHERAL VASCULAR DISEASE - SCIE","2,270","3.239","Q2","0.62","4.49"%,
"ATHEROSCLEROSIS SUPPLEMENTS","1567-5688","1878-5050","PERIPHERAL VASCULAR DISEASE - SCIE","849","3.235","Q2","0.51","26.67"%,
"JOURNAL OF HUMAN HYPERTENSION","0950-9240","1476-5527","PERIPHERAL VASCULAR DISEASE - SCIE","5,414","3.012","Q3","0.57","8.01"%,
"Pregnancy Hypertension-An International Journal of Womens Cardiovascular Health","2210-7789","2210-7789","PERIPHERAL VASCULAR DISEASE - SCIE","1,981","2.899","Q3","0.72","8.01"%,
"CURRENT OPINION IN NEPHROLOGY AND HYPERTENSION","1062-4821","1473-6543","PERIPHERAL VASCULAR DISEASE - SCIE","3,953","2.894","Q3","0.59","3.42"%,
"Journal of Vascular Surgery-Venous and Lymphatic Disorders","2213-333X","2213-333X","PERIPHERAL VASCULAR DISEASE - SCIE","1,769","2.859","Q3","0.82","4.28"%,
"BLOOD PRESSURE","0803-7051","1651-1999","PERIPHERAL VASCULAR DISEASE - SCIE","1,390","2.835","Q3","0.5","11.11"%,
"INTERNATIONAL ANGIOLOGY","0392-9590","1827-1839","PERIPHERAL VASCULAR DISEASE - SCIE","1,623","2.789","Q3","0.45","0"%,
"CEREBROVASCULAR DISEASES","1015-9770","1421-9786","PERIPHERAL VASCULAR DISEASE - SCIE","6,560","2.762","Q3","0.71","9.62"%,
"Current Vascular Pharmacology","1570-1611","1875-6212","PERIPHERAL VASCULAR DISEASE - SCIE","2,357","2.719","Q3","0.62","0"%,
"AMERICAN JOURNAL OF HYPERTENSION","0895-7061","1941-7225","PERIPHERAL VASCULAR DISEASE - SCIE","10,492","2.689","Q3","0.62","9.35"%,
"KIDNEY & BLOOD PRESSURE RESEARCH","1420-4096","1423-0143","PERIPHERAL VASCULAR DISEASE - SCIE","2,671","2.687","Q3","0.64","100"%,
"MICROCIRCULATION","1073-9688","1549-8719","PERIPHERAL VASCULAR DISEASE - SCIE","2,997","2.628","Q3","0.59","12.56"%,
"JOURNAL OF CARDIOTHORACIC AND VASCULAR ANESTHESIA","1053-0770","1532-8422","PERIPHERAL VASCULAR DISEASE - SCIE","7,080","2.628","Q3","0.58","2.07"%,
"International Journal of Hypertension","2090-0384","2090-0392","PERIPHERAL VASCULAR DISEASE - SCIE","1,219","2.42","Q3","0.43","100"%,
"CLINICAL AND APPLIED THROMBOSIS-HEMOSTASIS","1076-0296","1938-2723","PERIPHERAL VASCULAR DISEASE - SCIE","2,708","2.389","Q3","0.44","81.5"%,
"CLINICAL HEMORHEOLOGY AND MICROCIRCULATION","1386-0291","1875-8622","PERIPHERAL VASCULAR DISEASE - SCIE","2,695","2.375","Q3","0.5","0"%,
"JOURNAL OF THROMBOSIS AND THROMBOLYSIS","0929-5305","1573-742X","PERIPHERAL VASCULAR DISEASE - SCIE","4,446","2.3","Q3","0.53","12.81"%,
"Journal of Vascular Access","1129-7298","1724-6032","PERIPHERAL VASCULAR DISEASE - SCIE","2,249","2.283","Q4","0.33","5.09"%,
"Journal of Stroke & Cerebrovascular Diseases","1052-3057","1532-8511","PERIPHERAL VASCULAR DISEASE - SCIE","9,223","2.136","Q4","0.48","2.28"%,
"HYPERTENSION IN PREGNANCY","1064-1955","1525-6065","PERIPHERAL VASCULAR DISEASE - SCIE","1,515","2.108","Q4","0.68","1.53"%,
"HEART AND VESSELS","0910-8327","1615-2573","PERIPHERAL VASCULAR DISEASE - SCIE","2,953","2.037","Q4","0.47","10.25"%,
"PERFUSION-UK","0267-6591","1477-111X","PERIPHERAL VASCULAR DISEASE - SCIE","1,949","1.972","Q4","0.41","5.79"%,
"Vasa-European Journal of Vascular Medicine","0301-1526","N/A","PERIPHERAL VASCULAR DISEASE - SCIE","1,141","1.961","Q4","0.4","1.05"%,
"JOURNAL OF VASCULAR RESEARCH","1018-1172","1423-0135","PERIPHERAL VASCULAR DISEASE - SCIE","1,824","1.934","Q4","0.52","7"%,
"JOURNAL OF CARDIOVASCULAR SURGERY","0021-9509","1827-191X","PERIPHERAL VASCULAR DISEASE - SCIE","2,091","1.888","Q4","0.4","0"%,
"CLINICAL AND EXPERIMENTAL HYPERTENSION","1064-1963","1525-6006","PERIPHERAL VASCULAR DISEASE - SCIE","2,292","1.749","Q4","0.53","1.34"%,
"PHLEBOLOGY","0268-3555","1758-1125","PERIPHERAL VASCULAR DISEASE - SCIE","1,900","1.74","Q4","0.55","6.94"%,
"JOURNAL OF THE RENIN-ANGIOTENSIN-ALDOSTERONE SYSTEM","1470-3203","1752-8976","PERIPHERAL VASCULAR DISEASE - SCIE","1,273","1.636","Q4","0.33","100"%,
"ANNALS OF VASCULAR SURGERY","0890-5096","1615-5947","PERIPHERAL VASCULAR DISEASE - SCIE","7,121","1.466","Q4","0.4","2.8"%,
"BLOOD PRESSURE MONITORING","1359-5237","1473-5725","PERIPHERAL VASCULAR DISEASE - SCIE","1,536","1.444","Q4","0.29","0"%,
"Vascular","1708-5381","1708-539X","PERIPHERAL VASCULAR DISEASE - SCIE","1,110","1.285","Q4","0.3","2.86"%,
"Vascular and Endovascular Surgery","1538-5744","1938-9116","PERIPHERAL VASCULAR DISEASE - SCIE","1,619","1.089","Q4","0.3","1.24"%,
"Seminars in Vascular Surgery","0895-7967","1558-4518","PERIPHERAL VASCULAR DISEASE - SCIE","734","1","Q4","0.45","5.26"%,
"Artery Research","1872-9312","1876-4401","PERIPHERAL VASCULAR DISEASE - SCIE","301","0.597","Q4","0.13","61.9"%,

Copyright (c) 2021 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
