"Journal Data Filtered By:  Selected Categories: RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING Selected Editions: SCIE Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"JACC-Cardiovascular Imaging","1936-878X","1876-7591","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","14,398","14.805","Q1","3.41","10.02"%,
"RADIOLOGY","0033-8419","N/A","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","72,249","11.105","Q1","2.83","5.97"%,
"JOURNAL OF NUCLEAR MEDICINE","0161-5505","1535-5667","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","32,949","10.057","Q1","2.6","7.8"%,
"IEEE TRANSACTIONS ON MEDICAL IMAGING","0278-0062","1558-254X","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","27,030","10.048","Q1","2.25","0"%,
"EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING","1619-7070","1619-7089","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","20,634","9.236","Q1","2.45","31.78"%,
"MEDICAL IMAGE ANALYSIS","1361-8415","1361-8423","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","11,568","8.545","Q1","3.11","13.41"%,
"Photoacoustics","2213-5979","2213-5979","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","1,093","8.484","Q1","1.89","100"%,
"CLINICAL NUCLEAR MEDICINE","0363-9762","1536-0229","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","6,344","7.794","Q1","1.05","4.13"%,
"Circulation-Cardiovascular Imaging","1941-9651","1942-0080","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","7,640","7.792","Q1","1.7","9.63"%,
"ULTRASOUND IN OBSTETRICS & GYNECOLOGY","0960-7692","1469-0705","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","18,164","7.299","Q1","1.97","10.25"%,
"INTERNATIONAL JOURNAL OF RADIATION ONCOLOGY BIOLOGY PHYSICS","0360-3016","1879-355X","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","50,525","7.038","Q1","1.42","9.47"%,
"European Heart Journal-Cardiovascular Imaging","2047-2404","2047-2412","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","8,423","6.875","Q1","1.61","9.66"%,
"NEUROIMAGE","1053-8119","1095-9572","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","119,618","6.556","Q1","1.72","47.35"%,
"ULTRASCHALL IN DER MEDIZIN","0172-4614","1438-8782","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","2,911","6.548","Q1","1.65","0"%,
"RADIOTHERAPY AND ONCOLOGY","0167-8140","1879-0887","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","22,462","6.28","Q1","1.39","14.26"%,
"INVESTIGATIVE RADIOLOGY","0020-9996","1536-0210","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","7,700","6.016","Q1","1.84","6.6"%,
"JOURNAL OF NUCLEAR CARDIOLOGY","1071-3581","1532-6551","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","5,882","5.952","Q1","0.95","15.17"%,
"SEMINARS IN RADIATION ONCOLOGY","1053-4296","1532-9461","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","2,837","5.934","Q1","1.41","5.74"%,
"Journal of the American College of Radiology","1546-1440","1558-349X","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","6,584","5.532","Q1","1.14","2.29"%,
"JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE","1097-6647","1532-429X","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","6,935","5.364","Q1","1.44","100"%,
"RADIOGRAPHICS","0271-5333","N/A","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","16,021","5.333","Q1","1.62","2.31"%,
"EUROPEAN RADIOLOGY","0938-7994","1432-1084","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","29,642","5.315","Q1","1.54","18.44"%,
"Insights into Imaging","1869-4101","1869-4101","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","3,147","5.231","Q1","0.96","100"%,
"HUMAN BRAIN MAPPING","1065-9471","1097-0193","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","27,538","5.038","Q1","1.32","50.24"%,
"Zeitschrift fur Medizinische Physik","0939-3889","1876-4436","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","781","4.82","Q1","1.05","9.78"%,
"JOURNAL OF MAGNETIC RESONANCE IMAGING","1053-1807","1522-2586","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","21,238","4.813","Q1","1.37","11.53"%,
"COMPUTERIZED MEDICAL IMAGING AND GRAPHICS","0895-6111","1879-0771","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","3,232","4.79","Q1","1.36","5.24"%,
