"Journal Data Filtered By:  Selected Categories: RESPIRATORY SYSTEM Selected Editions: SCIE Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"Lancet Respiratory Medicine","2213-2600","N/A","RESPIRATORY SYSTEM - SCIE","22,278","30.7","Q1","6.48","10.36"%,
"AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE","1073-449X","1535-4970","RESPIRATORY SYSTEM - SCIE","76,608","21.405","Q1","4.09","11.41"%,
"EUROPEAN RESPIRATORY JOURNAL","0903-1936","1399-3003","RESPIRATORY SYSTEM - SCIE","53,361","16.671","Q1","2.97","19.81"%,
"Journal of Thoracic Oncology","1556-0864","1556-1380","RESPIRATORY SYSTEM - SCIE","24,405","15.609","Q1","2.75","16.47"%,
"JOURNAL OF HEART AND LUNG TRANSPLANTATION","1053-2498","1557-3117","RESPIRATORY SYSTEM - SCIE","15,107","10.247","Q1","2.34","4.94"%,
"CHEST","0012-3692","1931-3543","RESPIRATORY SYSTEM - SCIE","58,778","9.41","Q1","2.08","6.24"%,
"THORAX","0040-6376","1468-3296","RESPIRATORY SYSTEM - SCIE","26,629","9.139","Q1","2.29","31.09"%,
"European Respiratory Review","0905-9180","1600-0617","RESPIRATORY SYSTEM - SCIE","4,369","8.839","Q1","1.59","100"%,
"AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY","1044-1549","1535-4989","RESPIRATORY SYSTEM - SCIE","15,280","6.914","Q1","1.31","1.88"%,
"Annals of the American Thoracic Society","1546-3222","2325-6621","RESPIRATORY SYSTEM - SCIE","9,131","6.831","Q1","1.44","7.76"%,
"Translational Lung Cancer Research","2218-6751","2226-4477","RESPIRATORY SYSTEM - SCIE","3,169","6.498","Q1","0.91","89.49"%,
"RESPIROLOGY","1323-7799","1440-1843","RESPIRATORY SYSTEM - SCIE","8,712","6.424","Q1","1.33","8.09"%,
"LUNG CANCER","0169-5002","1872-8332","RESPIRATORY SYSTEM - SCIE","15,504","5.705","Q1","1.26","12.44"%,
"RESPIRATORY RESEARCH","N/A","1465-993X","RESPIRATORY SYSTEM - SCIE","11,042","5.631","Q1","1.22","100"%,
"Journal of Cystic Fibrosis","1569-1993","1873-5010","RESPIRATORY SYSTEM - SCIE","5,945","5.482","Q1","1.31","13.65"%,
"AMERICAN JOURNAL OF PHYSIOLOGY-LUNG CELLULAR AND MOLECULAR PHYSIOLOGY","1040-0605","1522-1504","RESPIRATORY SYSTEM - SCIE","16,880","5.464","Q1","1.38","4.95"%,
"JOURNAL OF THORACIC AND CARDIOVASCULAR SURGERY","0022-5223","1097-685X","RESPIRATORY SYSTEM - SCIE","33,066","5.209","Q2","1.4","4.05"%,
"ARCHIVOS DE BRONCONEUMOLOGIA","0300-2896","1579-2129","RESPIRATORY SYSTEM - SCIE","2,531","4.872","Q2","0.9","0"%,
"ANNALS OF THORACIC SURGERY","0003-4975","1552-6259","RESPIRATORY SYSTEM - SCIE","41,620","4.33","Q2","1.18","0.34"%,
"Journal of Asthma and Allergy","1178-6965","1178-6965","RESPIRATORY SYSTEM - SCIE","882","4.258","Q2","0.75","100"%,
"EUROPEAN JOURNAL OF CARDIO-THORACIC SURGERY","1010-7940","1873-734X","RESPIRATORY SYSTEM - SCIE","18,818","4.191","Q2","1.17","6.03"%,
"Therapeutic Advances in Respiratory Disease","1753-4658","1753-4666","RESPIRATORY SYSTEM - SCIE","1,281","4.031","Q2","0.75","100"%,
"Expert Review of Respiratory Medicine","1747-6348","1747-6356","RESPIRATORY SYSTEM - SCIE","2,481","3.772","Q2","0.7","2.87"%,
"RESPIRATION","0025-7931","1423-0356","RESPIRATORY SYSTEM - SCIE","5,515","3.58","Q2","0.93","13.39"%,
"Pulmonology","2531-0437","2531-0437","RESPIRATORY SYSTEM - SCIE","509","3.575","Q2","0.73","100"%,
"Thoracic Cancer","1759-7706","1759-7714","RESPIRATORY SYSTEM - SCIE","3,140","3.5","Q2","0.7","99.9"%,
"RESPIRATORY MEDICINE","0954-6111","1532-3064","RESPIRATORY SYSTEM - SCIE","14,459","3.415","Q2","0.82","5.17"%,
"PULMONARY PHARMACOLOGY & THERAPEUTICS","1094-5539","N/A","RESPIRATORY SYSTEM - SCIE","3,297","3.41","Q2","0.95","14.58"%,
"Chronic Obstructive Pulmonary Diseases-Journal of the COPD Foundation","2372-952X","2372-952X","RESPIRATORY SYSTEM - SCIE","479","3.39","Q2","0.62","0"%,
"International Journal of Chronic Obstructive Pulmonary Disease","1178-2005","1178-2005","RESPIRATORY SYSTEM - SCIE","8,077","3.355","Q2","0.81","100"%,
