"Journal Data Filtered By:  Selected Categories: SPORT SCIENCES Selected Editions: SCIE Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"BRITISH JOURNAL OF SPORTS MEDICINE","0306-3674","1473-0480","SPORT SCIENCES - SCIE","30,986","13.8","Q1","3.05","19.37"%,
"SPORTS MEDICINE","0112-1642","1179-2035","SPORT SCIENCES - SCIE","23,632","11.136","Q1","2.09","27.98"%,
"Journal of Sport and Health Science","2095-2546","2213-2961","SPORT SCIENCES - SCIE","2,746","7.179","Q1","1.73","100"%,
"Qualitative Research in Sport Exercise and Health","2159-676X","2159-6778","SPORT SCIENCES - SCIE","1,609","6.736","Q1","1.44","1.57"%,
"EXERCISE IMMUNOLOGY REVIEW","1077-5552","1077-5552","SPORT SCIENCES - SCIE","1,093","6.308","Q1","0.71","0"%,
"EXERCISE AND SPORT SCIENCES REVIEWS","0091-6331","1538-3008","SPORT SCIENCES - SCIE","4,053","6.23","Q1","0.9","5.88"%,
"AMERICAN JOURNAL OF SPORTS MEDICINE","0363-5465","1552-3365","SPORT SCIENCES - SCIE","42,234","6.202","Q1","2.29","2.05"%,
"MEDICINE AND SCIENCE IN SPORTS AND EXERCISE","0195-9131","1530-0315","SPORT SCIENCES - SCIE","43,775","5.411","Q1","1.76","6.47"%,
"Journal of the International Society of Sports Nutrition","N/A","1550-2783","SPORT SCIENCES - SCIE","2,467","5.15","Q1","1.19","100"%,
"Sports Medicine-Open","2199-1170","2198-9761","SPORT SCIENCES - SCIE","1,086","4.83","Q1","0.95","100"%,
"PSYCHOLOGY OF SPORT AND EXERCISE","1469-0292","1878-5476","SPORT SCIENCES - SCIE","7,897","4.785","Q1","1.31","4.18"%,
"ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY","0749-8063","1526-3231","SPORT SCIENCES - SCIE","20,208","4.772","Q1","1.72","1.23"%,
"JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY","0190-6011","1938-1344","SPORT SCIENCES - SCIE","9,650","4.751","Q1","1.51","0.81"%,
"Research in Sports Medicine","1543-8627","1543-8635","SPORT SCIENCES - SCIE","1,372","4.674","Q1","1.32","1.09"%,
"INTERNATIONAL JOURNAL OF SPORT NUTRITION AND EXERCISE METABOLISM","1526-484X","1543-2742","SPORT SCIENCES - SCIE","3,539","4.599","Q1","1.12","1.41"%,
"KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY","0942-2056","1433-7347","SPORT SCIENCES - SCIE","21,052","4.342","Q1","1.53","14.28"%,
"JOURNAL OF SCIENCE AND MEDICINE IN SPORT","1440-2440","1878-1861","SPORT SCIENCES - SCIE","10,210","4.319","Q1","1.4","5.19"%,
"SCANDINAVIAN JOURNAL OF MEDICINE & SCIENCE IN SPORTS","0905-7188","1600-0838","SPORT SCIENCES - SCIE","12,658","4.221","Q1","1.42","16.96"%,
"JOURNAL OF TEACHING IN PHYSICAL EDUCATION","0273-5024","1543-2769","SPORT SCIENCES - SCIE","2,523","4.155","Q1","1.85","1.42"%,
"SPORT EDUCATION AND SOCIETY","1357-3322","1470-1243","SPORT SCIENCES - SCIE","3,140","4.119","Q1","1.91","5.21"%,
"European Journal of Sport Science","1746-1391","1536-7290","SPORT SCIENCES - SCIE","5,190","4.05","Q1","1.3","1.79"%,
"International Journal of Sports Physiology and Performance","1555-0265","1555-0273","SPORT SCIENCES - SCIE","7,463","4.01","Q1","1.35","0.82"%,
"ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION","0003-9993","1532-821X","SPORT SCIENCES - SCIE","30,690","3.966","Q2","1.43","3.16"%,
