"Journal Data Filtered By:  Selected Categories: UROLOGY & NEPHROLOGY Selected Editions: SCIE Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"Nature Reviews Nephrology","1759-5061","1759-507X","UROLOGY & NEPHROLOGY - SCIE","10,033","28.314","Q1","5.33","4.23"%,
"EUROPEAN UROLOGY","0302-2838","1873-7560","UROLOGY & NEPHROLOGY - SCIE","42,109","20.096","Q1","6.4","13.37"%,
"Nature Reviews Urology","1759-4812","1759-4820","UROLOGY & NEPHROLOGY - SCIE","5,267","14.432","Q1","2.43","3.79"%,
"KIDNEY INTERNATIONAL","0085-2538","1523-1755","UROLOGY & NEPHROLOGY - SCIE","52,616","10.612","Q1","3.01","19.22"%,
"Kidney International Supplements","2157-1724","2157-1716","UROLOGY & NEPHROLOGY - SCIE","3,207","10.545","Q1","2.65","4.55"%,
"JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY","1046-6673","1533-3450","UROLOGY & NEPHROLOGY - SCIE","45,533","10.121","Q1","3.27","1.17"%,
"AMERICAN JOURNAL OF KIDNEY DISEASES","0272-6386","1523-6838","UROLOGY & NEPHROLOGY - SCIE","27,640","8.86","Q1","2.37","8.25"%,
"Clinical Journal of the American Society of Nephrology","1555-9041","1555-905X","UROLOGY & NEPHROLOGY - SCIE","21,638","8.237","Q1","2.37","0.63"%,
"European Urology Oncology","N/A","2588-9311","UROLOGY & NEPHROLOGY - SCIE","1,413","7.479","Q1","1.43","13.1"%,
"JOURNAL OF UROLOGY","0022-5347","1527-3792","UROLOGY & NEPHROLOGY - SCIE","53,977","7.45","Q1","2.09","0.12"%,
"EUROPEAN UROLOGY SUPPLEMENTS","1569-9056","1878-1500","UROLOGY & NEPHROLOGY - SCIE","1,023","7.122","Q1","0.17","0"%,
"European Urology Focus","N/A","2405-4569","UROLOGY & NEPHROLOGY - SCIE","3,058","5.996","Q1","1.55","6.07"%,
"NEPHROLOGY DIALYSIS TRANSPLANTATION","0931-0509","1460-2385","UROLOGY & NEPHROLOGY - SCIE","29,250","5.992","Q1","1.55","16.78"%,
"Aging Male","1368-5538","1473-0790","UROLOGY & NEPHROLOGY - SCIE","1,521","5.892","Q1","0.93","4.09"%,
"BJU INTERNATIONAL","1464-4096","1464-410X","UROLOGY & NEPHROLOGY - SCIE","23,873","5.588","Q1","1.75","11.46"%,
"PROSTATE CANCER AND PROSTATIC DISEASES","1365-7852","1476-5608","UROLOGY & NEPHROLOGY - SCIE","3,161","5.554","Q1","1.25","14.64"%,
"World Journal of Mens Health","2287-4208","2287-4690","UROLOGY & NEPHROLOGY - SCIE","948","5.4","Q1","1.19","100"%,
"SEMINARS IN NEPHROLOGY","0270-9295","1558-4488","UROLOGY & NEPHROLOGY - SCIE","3,690","5.299","Q1","0.96","4.46"%,
"Sexual Medicine Reviews","2050-0513","2050-0521","UROLOGY & NEPHROLOGY - SCIE","1,276","4.836","Q1","0.95","3.93"%,
"Clinical Kidney Journal","2048-8505","2048-8513","UROLOGY & NEPHROLOGY - SCIE","3,505","4.452","Q1","1.07","100"%,
