"Journal Data Filtered By:  Selected Categories: VIROLOGY Selected Editions: SCIE Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"Cell Host & Microbe","1931-3128","1934-6069","VIROLOGY - SCIE","28,716","21.023","Q1","4.57","11.25"%,
"Annual Review of Virology","2327-056X","2327-0578","VIROLOGY - SCIE","2,317","10.431","Q1","2.28","0"%,
"Advances in Virus Research","0065-3527","1557-8399","VIROLOGY - SCIE","3,485","9.937","Q1","1.04","0"%,
"Virus Evolution","N/A","2057-1577","VIROLOGY - SCIE","1,901","7.989","Q1","1.51","100"%,
"Current Opinion in Virology","1879-6257","1879-6265","VIROLOGY - SCIE","5,410","7.09","Q1","1.6","12.34"%,
"REVIEWS IN MEDICAL VIROLOGY","1052-9276","1099-1654","VIROLOGY - SCIE","3,385","6.989","Q1","0.82","7.92"%,
"PLoS Pathogens","1553-7366","1553-7374","VIROLOGY - SCIE","55,666","6.823","Q1","1.85","100"%,
"ANTIVIRAL RESEARCH","0166-3542","1872-9096","VIROLOGY - SCIE","15,686","5.97","Q1","1.49","16.61"%,
"JOURNAL OF VIROLOGY","0022-538X","1098-5514","VIROLOGY - SCIE","111,935","5.103","Q1","1.24","17.88"%,
"Viruses-Basel","N/A","1999-4915","VIROLOGY - SCIE","22,399","5.048","Q2","0.87","100"%,
"Retrovirology","N/A","1742-4690","VIROLOGY - SCIE","3,999","4.602","Q2","0.89","100"%,
"Influenza and Other Respiratory Viruses","1750-2640","1750-2659","VIROLOGY - SCIE","3,470","4.38","Q2","1.02","100"%,
"VIROLOGICA SINICA","1674-0769","1995-820X","VIROLOGY - SCIE","1,850","4.327","Q2","0.61","10.5"%,
"AIDS","0269-9370","1473-5571","VIROLOGY - SCIE","20,317","4.177","Q2","1.09","7.79"%,
"Virology Journal","N/A","1743-422X","VIROLOGY - SCIE","9,953","4.099","Q2","0.72","100"%,
"JOURNAL OF GENERAL VIROLOGY","0022-1317","1465-2099","VIROLOGY - SCIE","22,834","3.891","Q2","0.9","28.94"%,
"JOURNAL OF VIRAL HEPATITIS","1352-0504","1365-2893","VIROLOGY - SCIE","5,219","3.728","Q2","0.95","10.52"%,
"Journal of Virus Eradication","2055-6640","2055-6659","VIROLOGY - SCIE","720","3.696","Q2","0.67","9.8"%,
"VIROLOGY","0042-6822","1089-862X","VIROLOGY - SCIE","30,019","3.616","Q3","0.87","10.83"%,
"INTERNATIONAL JOURNAL OF MEDICAL MICROBIOLOGY","1438-4221","1618-0607","VIROLOGY - SCIE","5,058","3.473","Q3","0.82","30.99"%,
"VIRUS RESEARCH","0168-1702","1872-7492","VIROLOGY - SCIE","13,463","3.303","Q3","0.76","8.53"%,
"JOURNAL OF CLINICAL VIROLOGY","1386-6532","1873-5967","VIROLOGY - SCIE","10,320","3.168","Q3","0.72","13.31"%,
"Food and Environmental Virology","1867-0334","1867-0342","VIROLOGY - SCIE","1,132","2.778","Q3","0.74","14.18"%,
"SOUTHERN AFRICAN JOURNAL OF HIV MEDICINE","1608-9693","2078-6751","VIROLOGY - SCIE","449","2.744","Q3","0.43","100"%,
"JOURNAL OF NEUROVIROLOGY","1355-0284","1538-2443","VIROLOGY - SCIE","3,532","2.643","Q3","0.63","11.11"%,
"ARCHIVES OF VIROLOGY","0304-8608","1432-8798","VIROLOGY - SCIE","13,818","2.574","Q3","0.6","7.39"%,
"VIRUS GENES","0920-8569","1572-994X","VIROLOGY - SCIE","3,101","2.332","Q3","0.53","9.36"%,
"JOURNAL OF MEDICAL VIROLOGY","0146-6615","1096-9071","VIROLOGY - SCIE","25,258","2.327","Q4","0.6","7.2"%,
"VIRAL IMMUNOLOGY","0882-8245","1557-8976","VIROLOGY - SCIE","1,991","2.257","Q4","0.44","6.67"%,
"AIDS RESEARCH AND HUMAN RETROVIRUSES","0889-2229","1931-8405","VIROLOGY - SCIE","4,756","2.205","Q4","0.52","5.32"%,
"JOURNAL OF VIROLOGICAL METHODS","0166-0934","1879-0984","VIROLOGY - SCIE","9,082","2.014","Q4","0.53","12.19"%,
"Future Virology","1746-0794","1746-0808","VIROLOGY - SCIE","1,167","1.831","Q4","0.23","8.37"%,
"INTERVIROLOGY","0300-5526","1423-0100","VIROLOGY - SCIE","1,575","1.763","Q4","0.35","3.66"%,
"CURRENT HIV RESEARCH","1570-162X","1873-4251","VIROLOGY - SCIE","1,270","1.581","Q4","0.25","0"%,
"ACTA VIROLOGICA","0001-723X","1336-2305","VIROLOGY - SCIE","1,063","1.162","Q4","0.21","0"%,
"VIROLOGIE","1267-8694","N/A","VIROLOGY - SCIE","123","0.474","Q4","0.03","6.25"%,

Copyright (c) 2021 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
