"Journal Data Filtered By:  Selected Categories: PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH Selected Editions: SSCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"Lancet Global Health","2214-109X","2214-109X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","16,662","26.763","Q1","6.5","100"%,
"Annual Review of Public Health","0163-7525","N/A","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","9,927","21.981","Q1","3.47","66.27"%,
"Lancet Public Health","2468-2667","2468-2667","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","5,793","21.648","Q1","5.48","100"%,
"Lancet Planetary Health","2542-5196","2542-5196","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","2,540","19.173","Q1","3.86","100"%,
"Analytic Methods in Accident Research","2213-6657","2213-6665","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","1,445","11.806","Q1","3.98","1.59"%,
"AMERICAN JOURNAL OF PUBLIC HEALTH","0090-0036","1541-0048","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","51,398","9.308","Q1","2.01","0"%,
"TOBACCO CONTROL","0964-4563","1468-3318","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","10,279","7.552","Q1","2.49","23.36"%,
"Journal of Occupational Health Psychology","1076-8998","1939-1307","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","7,085","7.25","Q1","2.94","0"%,
"Current Environmental Health Reports","N/A","2196-5412","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","1,967","7.122","Q1","2.19","15.13"%,
"BMJ Global Health","2059-7908","2059-7908","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","4,992","5.558","Q1","1.56","99.24"%,
"International Journal of Transgenderism","1553-2739","1434-4599","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","1,381","5.333","Q1","1.97","3.33"%,
"AIDS PATIENT CARE AND STDS","1087-2914","1557-7449","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","4,231","5.078","Q1","1.43","1.18"%,
"AMERICAN JOURNAL OF PREVENTIVE MEDICINE","0749-3797","1873-2607","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","28,400","5.043","Q1","1.67","16.35"%,
"SCANDINAVIAN JOURNAL OF WORK ENVIRONMENT & HEALTH","0355-3140","1795-990X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","6,700","5.024","Q1","1.43","81.15"%,
"JOURNAL OF ADOLESCENT HEALTH","1054-139X","1879-1972","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","20,914","5.012","Q1","1.58","12.11"%,
"ACCIDENT ANALYSIS AND PREVENTION","0001-4575","1879-2057","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","25,323","4.993","Q1","2.07","5.38"%,
"Perspectives in Public Health","1757-9139","1757-9147","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","1,115","4.94","Q1","1.19","11.9"%,
"EPIDEMIOLOGY","1044-3983","1531-5487","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","16,437","4.822","Q1","1.68","10.88"%,
"Health Reports","0840-6529","1209-1367","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","1,781","4.796","Q1","1.52","0"%,
"SOCIAL SCIENCE & MEDICINE","0277-9536","1873-5347","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","57,968","4.634","Q1","1.49","17.23"%,
"JOURNAL OF HEALTH AND SOCIAL BEHAVIOR","0022-1465","2150-6000","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","12,000","4.462","Q1","1.4","1.05"%,
"Journal of Global Health","2047-2978","2047-2986","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","2,764","4.413","Q1","1.07","100"%,
"JOURNAL OF RURAL HEALTH","0890-765X","1748-0361","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","2,866","4.333","Q1","1.63","6.02"%,
"NICOTINE & TOBACCO RESEARCH","1462-2203","1469-994X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","11,360","4.244","Q1","1.5","14.42"%,
"Globalization and Health","N/A","1744-8603","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","3,266","4.185","Q1","1.13","100"%,
"LGBT Health","2325-8292","2325-8306","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","1,684","4.151","Q1","1.42","1.81"%,
"QUALITY OF LIFE RESEARCH","0962-9343","1573-2649","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","19,584","4.147","Q1","1.19","27.58"%,
"JMIR Public Health and Surveillance","2369-2960","2369-2960","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","2,430","4.112","Q1","1.02","100"%,
"HEALTH & PLACE","1353-8292","1873-2054","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","9,762","4.078","Q1","1.38","17.68"%,
"PREVENTION SCIENCE","1389-4986","1573-6695","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","5,615","4.056","Q1","1.46","12.77"%,
"RISK ANALYSIS","0272-4332","1539-6924","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","13,236","4","Q1","1.47","16.64"%,
"International Journal of Health Geographics","1476-072X","1476-072X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","3,384","3.918","Q1","1.29","100"%,
"AIDS AND BEHAVIOR","1090-7165","1573-3254","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","14,274","3.895","Q1","1.29","9.68"%,
"JOURNAL OF EPIDEMIOLOGY AND COMMUNITY HEALTH","0143-005X","1470-2738","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","18,466","3.71","Q1","1.3","32.02"%,
"Frontiers in Public Health","N/A","2296-2565","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","8,172","3.709","Q1","0.95","100"%,
"Environmental Health and Preventive Medicine","1342-078X","1347-4715","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","2,240","3.674","Q1","1.03","100"%,
"AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY","0091-0562","1573-2770","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","8,750","3.554","Q1","1.27","5.35"%,
"Digital Health","2055-2076","2055-2076","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","676","3.495","Q1","0.88","100"%,
