"Journal Data Filtered By:  Selected Categories: SUBSTANCE ABUSE Selected Editions: SSCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"TOBACCO CONTROL","0964-4563","1468-3318","SUBSTANCE ABUSE - SSCI","10,279","7.552","Q1","2.49","23.36"%,
"Alcohol Research-Current Reviews","1535-7414","1930-0573","SUBSTANCE ABUSE - SSCI","1,448","6.667","Q1","1.75","0"%,
"ADDICTION","0965-2140","1360-0443","SUBSTANCE ABUSE - SSCI","23,843","6.526","Q1","1.92","24.75"%,
"INTERNATIONAL JOURNAL OF DRUG POLICY","0955-3959","1873-4758","SUBSTANCE ABUSE - SSCI","8,075","5.009","Q1","1.41","9.99"%,
"DRUG AND ALCOHOL DEPENDENCE","0376-8716","1879-0046","SUBSTANCE ABUSE - SSCI","25,688","4.492","Q1","1.25","7.1"%,
"Harm Reduction Journal","N/A","1477-7517","SUBSTANCE ABUSE - SSCI","2,125","4.362","Q1","1.16","100"%,
"NICOTINE & TOBACCO RESEARCH","1462-2203","1469-994X","SUBSTANCE ABUSE - SSCI","11,360","4.244","Q1","1.5","14.42"%,
"ADDICTIVE BEHAVIORS","0306-4603","1873-6327","SUBSTANCE ABUSE - SSCI","17,650","3.913","Q1","1.3","2.93"%,
"International Journal of Mental Health and Addiction","1557-1874","1557-1882","SUBSTANCE ABUSE - SSCI","3,487","3.836","Q1","0.83","23.29"%,
"AMERICAN JOURNAL OF DRUG AND ALCOHOL ABUSE","0095-2990","1097-9891","SUBSTANCE ABUSE - SSCI","3,545","3.829","Q2","1.17","3.24"%,
"JOURNAL OF SUBSTANCE ABUSE TREATMENT","0740-5472","1873-6483","SUBSTANCE ABUSE - SSCI","7,528","3.77","Q2","1.12","6.45"%,
"Substance Abuse","0889-7077","1547-0164","SUBSTANCE ABUSE - SSCI","2,306","3.716","Q2","0.81","4.53"%,
"JOURNAL OF GAMBLING STUDIES","1050-5350","1573-3602","SUBSTANCE ABUSE - SSCI","4,101","3.655","Q2","1.17","17.36"%,
"Addiction Science & Clinical Practice","1940-0640","1940-0640","SUBSTANCE ABUSE - SSCI","984","3.544","Q2","0.85","100"%,
"DRUG AND ALCOHOL REVIEW","0959-5236","1465-3362","SUBSTANCE ABUSE - SSCI","4,401","3.343","Q2","0.84","11.84"%,
"PSYCHOLOGY OF ADDICTIVE BEHAVIORS","0893-164X","1939-1501","SUBSTANCE ABUSE - SSCI","6,634","3.288","Q2","1.08","1.57"%,
"AMERICAN JOURNAL ON ADDICTIONS","1055-0496","1521-0391","SUBSTANCE ABUSE - SSCI","3,363","3.076","Q2","0.77","2.69"%,
"EUROPEAN ADDICTION RESEARCH","1022-6877","1421-9891","SUBSTANCE ABUSE - SSCI","1,502","3.015","Q2","0.71","19.64"%,
"Adicciones","0214-4840","N/A","SUBSTANCE ABUSE - SSCI","824","2.979","Q3","0.81","0"%,
"ALCOHOL AND ALCOHOLISM","0735-0414","1464-3502","SUBSTANCE ABUSE - SSCI","5,400","2.826","Q3","0.75","7.12"%,
"JOURNAL OF PSYCHOACTIVE DRUGS","0279-1072","2159-9777","SUBSTANCE ABUSE - SSCI","2,405","2.748","Q3","0.79","3.63"%,
"Tobacco Induced Diseases","1617-9625","N/A","SUBSTANCE ABUSE - SSCI","1,355","2.6","Q3","0.61","100"%,
"Substance Abuse Treatment Prevention and Policy","N/A","1747-597X","SUBSTANCE ABUSE - SSCI","1,524","2.583","Q3","0.68","100"%,
"Journal of Studies on Alcohol and Drugs","1937-1888","1938-4114","SUBSTANCE ABUSE - SSCI","7,963","2.582","Q3","0.89","0.35"%,
"International Gambling Studies","1445-9795","1479-4276","SUBSTANCE ABUSE - SSCI","1,150","2.508","Q3","0.81","4.67"%,
"ADDICTION RESEARCH & THEORY","1606-6359","1476-7392","SUBSTANCE ABUSE - SSCI","2,218","2.336","Q3","1.01","7.44"%,
"SUBSTANCE USE & MISUSE","1082-6084","1532-2491","SUBSTANCE ABUSE - SSCI","5,705","2.164","Q3","0.61","2.72"%,
"DRUGS-EDUCATION PREVENTION AND POLICY","0968-7637","1465-3370","SUBSTANCE ABUSE - SSCI","1,311","1.71","Q4","0.53","16.43"%,
"Journal of Dual Diagnosis","1550-4263","1550-4271","SUBSTANCE ABUSE - SSCI","643","1.613","Q4","0.4","0.97"%,
"Nordic Studies on Alcohol and Drugs","1455-0725","1458-6126","SUBSTANCE ABUSE - SSCI","497","1.6","Q4","0.49","100"%,
"JOURNAL OF ADDICTIVE DISEASES","1055-0887","1545-0848","SUBSTANCE ABUSE - SSCI","1,390","1.594","Q4","0.37","0.79"%,
"JOURNAL OF ETHNICITY IN SUBSTANCE ABUSE","1533-2640","1533-2659","SUBSTANCE ABUSE - SSCI","663","1.507","Q4","0.46","1.57"%,
"JOURNAL OF DRUG ISSUES","0022-0426","1945-1369","SUBSTANCE ABUSE - SSCI","1,560","1.489","Q4","0.42","2.04"%,
"Journal of Addictions Nursing","1088-4602","1548-7148","SUBSTANCE ABUSE - SSCI","408","1.476","Q4","0.46","1.96"%,
"Journal of Substance Use","1465-9891","1475-9942","SUBSTANCE ABUSE - SSCI","1,115","1","Q4","0.28","1.98"%,
"Heroin Addiction and Related Clinical Problems","1592-1638","1592-1638","SUBSTANCE ABUSE - SSCI","275","0.955","Q4","0.21","0"%,
"JOURNAL OF CHILD & ADOLESCENT SUBSTANCE ABUSE","1067-828X","1547-0652","SUBSTANCE ABUSE - SSCI","595","0.763","Q4","0.26","1.01"%,

Copyright (c) 2021 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
